% MAGMA 2.5.4  compiled for CUDA capability >= 6.0, 32-bit magma_int_t, 64-bit pointer.
% CUDA runtime 11000, driver 11000. OpenMP threads 1. 
% device 0: Tesla P100-SXM2-16GB, 1480.5 MHz clock, 16280.9 MiB memory, capability 6.0
% device 1: Tesla P100-SXM2-16GB, 1480.5 MHz clock, 16280.9 MiB memory, capability 6.0
% device 2: Tesla P100-SXM2-16GB, 1480.5 MHz clock, 16280.9 MiB memory, capability 6.0
% device 3: Tesla P100-SXM2-16GB, 1480.5 MHz clock, 16280.9 MiB memory, capability 6.0
% Mon Mar 22 04:03:48 2021
world size (GPU number) is 1
Aurow 5000 Aucol 5000 Avrow 1250 Avcol 20000 nt 100 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
nruns is 1500 
Times: 0.000274 BandWidth: 1459.25 
Times: 0.000281 BandWidth: 1423.36 
Times: 0.000276 BandWidth: 1449.17 
Times: 0.000281 BandWidth: 1424.57 
Times: 0.000291 BandWidth: 1374.40 
Times: 0.000276 BandWidth: 1450.42 
Times: 0.000284 BandWidth: 1407.84 
Times: 0.000278 BandWidth: 1439.23 
Times: 0.000281 BandWidth: 1424.57 
Times: 0.000278 BandWidth: 1439.23 
Times: 0.000284 BandWidth: 1409.02 
Times: 0.000291 BandWidth: 1374.40 
Times: 0.000278 BandWidth: 1439.23 
Times: 0.000275 BandWidth: 1455.46 
Times: 0.000285 BandWidth: 1404.30 
Times: 0.000295 BandWidth: 1356.62 
Times: 0.000290 BandWidth: 1378.92 
Times: 0.000296 BandWidth: 1352.25 
Times: 0.000285 BandWidth: 1403.13 
Times: 0.000277 BandWidth: 1444.18 
Times: 0.000282 BandWidth: 1418.55 
Times: 0.000294 BandWidth: 1361.02 
Times: 0.000291 BandWidth: 1375.53 
Times: 0.000284 BandWidth: 1409.02 
Times: 0.000280 BandWidth: 1429.42 
Times: 0.000270 BandWidth: 1481.15 
Times: 0.000280 BandWidth: 1428.21 
Times: 0.000287 BandWidth: 1394.96 
Times: 0.000272 BandWidth: 1470.76 
Times: 0.000273 BandWidth: 1465.63 
Times: 0.000277 BandWidth: 1444.18 
Times: 0.000271 BandWidth: 1477.24 
Times: 0.000280 BandWidth: 1428.21 
Times: 0.000270 BandWidth: 1482.46 
Times: 0.000281 BandWidth: 1424.57 
Times: 0.000288 BandWidth: 1389.19 
Times: 0.000281 BandWidth: 1424.57 
Times: 0.000281 BandWidth: 1423.36 
Times: 0.000271 BandWidth: 1475.94 
Times: 0.000278 BandWidth: 1439.23 
Times: 0.000270 BandWidth: 1481.15 
Times: 0.000272 BandWidth: 1470.76 
Times: 0.000270 BandWidth: 1482.46 
Times: 0.000281 BandWidth: 1424.57 
Times: 0.000270 BandWidth: 1482.46 
Times: 0.000278 BandWidth: 1439.23 
Times: 0.000284 BandWidth: 1409.02 
Times: 0.000278 BandWidth: 1439.23 
Times: 0.000267 BandWidth: 1498.34 
Times: 0.000278 BandWidth: 1439.23 
Times: 0.000280 BandWidth: 1429.42 
Times: 0.000269 BandWidth: 1487.71 
Times: 0.000282 BandWidth: 1418.55 
Times: 0.000298 BandWidth: 1342.51 
Times: 0.000281 BandWidth: 1423.36 
Times: 0.000270 BandWidth: 1481.15 
Times: 0.000278 BandWidth: 1439.23 
Times: 0.000290 BandWidth: 1380.05 
Times: 0.000277 BandWidth: 1444.18 
Times: 0.000287 BandWidth: 1393.80 
Times: 0.000277 BandWidth: 1444.18 
Times: 0.000271 BandWidth: 1477.24 
Times: 0.000277 BandWidth: 1445.43 
Times: 0.000290 BandWidth: 1378.92 
Times: 0.000280 BandWidth: 1429.42 
Times: 0.000270 BandWidth: 1481.15 
Times: 0.000281 BandWidth: 1423.36 
Times: 0.000270 BandWidth: 1481.15 
Times: 0.000306 BandWidth: 1307.98 
Times: 0.000318 BandWidth: 1257.98 
Times: 0.000278 BandWidth: 1439.23 
Times: 0.000283 BandWidth: 1413.77 
Times: 0.000278 BandWidth: 1439.23 
Times: 0.000287 BandWidth: 1394.96 
Times: 0.000285 BandWidth: 1404.30 
Times: 0.000268 BandWidth: 1493.01 
