
 This benchmark computes real vector y=alpha*A*x+beta*y, where A is matrix, y and x are vectors alpha and beta are scalars

 1) m : 5000 n: 20000 nb: 200 alpha: 1.000000 beta: 0.000000 nruns: 2000

--------------------------------------------------------------------------
WARNING: There was an error initializing an OpenFabrics device.

  Local host:   rl-dgxa-c24-u34
  Local device: mlx5_0
--------------------------------------------------------------------------
[rl-dgxa-c24-u34:122132] mca_base_component_repository_open: unable to open mca_pml_ucx: libucp.so.0: cannot open shared object file: No such file or directory (ignored)
[rl-dgxa-c24-u34:122132] mca_base_component_repository_open: unable to open mca_osc_ucx: libucp.so.0: cannot open shared object file: No such file or directory (ignored)
stream size is 2 
Aurow 5000 Aucol 5000 Avrow 1250 Avcol 20000 nt 100 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
Times: 0.003258 BandWidth: 122.81 
Times: 0.003268 BandWidth: 122.43 
Times: 0.003259 BandWidth: 122.77 
Times: 0.003259 BandWidth: 122.77 
Times: 0.003260 BandWidth: 122.72 
Times: 0.003271 BandWidth: 122.31 
Times: 0.003257 BandWidth: 122.84 
Times: 0.003271 BandWidth: 122.32 
Times: 0.003286 BandWidth: 121.76 
Times: 0.003261 BandWidth: 122.69 
Times: 0.003262 BandWidth: 122.65 
Times: 0.003263 BandWidth: 122.62 
Times: 0.004668 BandWidth: 85.71 
Times: 0.003268 BandWidth: 122.43 
Times: 0.003299 BandWidth: 121.28 
Times: 0.003261 BandWidth: 122.69 
Times: 0.003257 BandWidth: 122.84 
Times: 0.003262 BandWidth: 122.65 
Times: 0.003256 BandWidth: 122.88 
Times: 0.003304 BandWidth: 121.10 
Times: 0.003285 BandWidth: 121.79 
Times: 0.003260 BandWidth: 122.73 
Times: 0.003262 BandWidth: 122.65 
Times: 0.003293 BandWidth: 121.50 
Times: 0.003303 BandWidth: 121.13 
Times: 0.003265 BandWidth: 122.54 
Times: 0.003260 BandWidth: 122.73 
Times: 0.003291 BandWidth: 121.58 
Times: 0.003256 BandWidth: 122.88 
Times: 0.003267 BandWidth: 122.47 
Times: 0.003298 BandWidth: 121.31 
Times: 0.003260 BandWidth: 122.72 
Times: 0.003299 BandWidth: 121.28 
Times: 0.003257 BandWidth: 122.85 
Times: 0.003308 BandWidth: 120.96 
Times: 0.003260 BandWidth: 122.73 
Times: 0.003266 BandWidth: 122.50 
Times: 0.003261 BandWidth: 122.69 
Times: 0.003282 BandWidth: 121.91 
Times: 0.003254 BandWidth: 122.96 
Times: 0.003260 BandWidth: 122.73 
Times: 0.003265 BandWidth: 122.54 
Times: 0.003292 BandWidth: 121.54 
Times: 0.003255 BandWidth: 122.91 
Times: 0.003296 BandWidth: 121.38 
Times: 0.003285 BandWidth: 121.80 
Times: 0.003260 BandWidth: 122.73 
Times: 0.003255 BandWidth: 122.92 
Times: 0.003298 BandWidth: 121.31 
Times: 0.003257 BandWidth: 122.84 
Times: 0.003285 BandWidth: 121.80 
Times: 0.003284 BandWidth: 121.83 
Times: 0.003261 BandWidth: 122.69 
Times: 0.003254 BandWidth: 122.96 
Times: 0.003267 BandWidth: 122.47 
Times: 0.003259 BandWidth: 122.76 
Times: 0.003307 BandWidth: 120.99 
Times: 0.003264 BandWidth: 122.58 
Times: 0.003311 BandWidth: 120.84 
Times: 0.003270 BandWidth: 122.36 
Times: 0.003269 BandWidth: 122.39 
Times: 0.003302 BandWidth: 121.17 
Times: 0.003300 BandWidth: 121.24 
Times: 0.003302 BandWidth: 121.17 
Times: 0.003286 BandWidth: 121.76 
Times: 0.003253 BandWidth: 122.99 
Times: 0.003265 BandWidth: 122.55 
Times: 0.003254 BandWidth: 122.96 
Times: 0.003262 BandWidth: 122.65 
Times: 0.003294 BandWidth: 121.46 
Times: 0.003315 BandWidth: 120.69 
Times: 0.003258 BandWidth: 122.81 
Times: 0.003309 BandWidth: 120.91 
Times: 0.003301 BandWidth: 121.21 
Times: 0.003291 BandWidth: 121.58 
Times: 0.003301 BandWidth: 121.20 
Times: 0.003270 BandWidth: 122.36 
Times: 0.003258 BandWidth: 122.81 
Times: 0.003263 BandWidth: 122.62 
Times: 0.003310 BandWidth: 120.88 
Times: 0.003251 BandWidth: 123.07 
Times: 0.003301 BandWidth: 121.21 
Times: 0.003366 BandWidth: 118.87 
Times: 0.003294 BandWidth: 121.46 
Times: 0.003329 BandWidth: 120.18 
Times: 0.003284 BandWidth: 121.83 
Times: 0.003316 BandWidth: 120.66 
Times: 0.003282 BandWidth: 121.90 
Times: 0.003260 BandWidth: 122.73 
Times: 0.003922 BandWidth: 102.01 
Times: 0.003287 BandWidth: 121.72 
Times: 0.003265 BandWidth: 122.54 
Times: 0.003255 BandWidth: 122.92 
Times: 0.003288 BandWidth: 121.68 
Times: 0.003272 BandWidth: 122.28 
Times: 0.003260 BandWidth: 122.72 
Times: 0.003260 BandWidth: 122.73 
Times: 0.003260 BandWidth: 122.73 
Times: 0.003261 BandWidth: 122.69 
Times: 0.003252 BandWidth: 123.03 
Times: 0.003262 BandWidth: 122.65 
Times: 0.003259 BandWidth: 122.77 
Times: 0.003324 BandWidth: 120.37 
Times: 0.003294 BandWidth: 121.46 
Times: 0.003292 BandWidth: 121.53 
Times: 0.003246 BandWidth: 123.26 
Times: 0.003260 BandWidth: 122.73 
Times: 0.003260 BandWidth: 122.73 
Times: 0.003309 BandWidth: 120.91 
Times: 0.003252 BandWidth: 123.04 
Times: 0.003313 BandWidth: 120.76 
Times: 0.003286 BandWidth: 121.75 
Times: 0.003291 BandWidth: 121.58 
Times: 0.003259 BandWidth: 122.77 
Times: 0.003264 BandWidth: 122.57 
Times: 0.003252 BandWidth: 123.03 
Times: 0.003260 BandWidth: 122.73 
Times: 0.003258 BandWidth: 122.81 
Times: 0.003300 BandWidth: 121.24 
Times: 0.003258 BandWidth: 122.81 
Times: 0.003254 BandWidth: 122.96 
Times: 0.003258 BandWidth: 122.80 
Times: 0.003335 BandWidth: 119.97 
Times: 0.003254 BandWidth: 122.96 
Times: 0.003261 BandWidth: 122.69 
Times: 0.003252 BandWidth: 123.03 
Times: 0.003260 BandWidth: 122.72 
Times: 0.003343 BandWidth: 119.69 
Times: 0.003248 BandWidth: 123.18 
Times: 0.003280 BandWidth: 121.98 
Times: 0.003298 BandWidth: 121.32 
Times: 0.003281 BandWidth: 121.95 
Times: 0.003264 BandWidth: 122.58 
Times: 0.003258 BandWidth: 122.81 
Times: 0.003252 BandWidth: 123.03 
Times: 0.003292 BandWidth: 121.54 
Times: 0.003254 BandWidth: 122.96 
Times: 0.003345 BandWidth: 119.61 
Times: 0.003282 BandWidth: 121.90 
Times: 0.003268 BandWidth: 122.43 
Times: 0.003300 BandWidth: 121.24 
Times: 0.003330 BandWidth: 120.15 
Times: 0.003264 BandWidth: 122.57 
Times: 0.003251 BandWidth: 123.08 
Times: 0.003298 BandWidth: 121.31 
Times: 0.003341 BandWidth: 119.76 
Times: 0.003261 BandWidth: 122.69 
Times: 0.003255 BandWidth: 122.92 
Times: 0.003257 BandWidth: 122.84 
Times: 0.003259 BandWidth: 122.77 
Times: 0.003262 BandWidth: 122.66 
Times: 0.003255 BandWidth: 122.91 
Times: 0.003250 BandWidth: 123.11 
Times: 0.003257 BandWidth: 122.84 
Times: 0.003259 BandWidth: 122.77 
Times: 0.003297 BandWidth: 121.35 
Times: 0.003301 BandWidth: 121.21 
Times: 0.003263 BandWidth: 122.62 
Times: 0.003259 BandWidth: 122.77 
Times: 0.003286 BandWidth: 121.76 
Times: 0.003258 BandWidth: 122.81 
Times: 0.003259 BandWidth: 122.76 
Times: 0.003256 BandWidth: 122.88 
Times: 0.003248 BandWidth: 123.18 
Times: 0.003252 BandWidth: 123.04 
Times: 0.003265 BandWidth: 122.55 
Times: 0.003261 BandWidth: 122.69 
Times: 0.003256 BandWidth: 122.88 
Times: 0.003344 BandWidth: 119.65 
Times: 0.003247 BandWidth: 123.22 
Times: 0.003283 BandWidth: 121.87 
Times: 0.003266 BandWidth: 122.50 
Times: 0.003256 BandWidth: 122.89 
Times: 0.003259 BandWidth: 122.77 
Times: 0.003313 BandWidth: 120.76 
Times: 0.003249 BandWidth: 123.15 
Times: 0.003246 BandWidth: 123.26 
Times: 0.003256 BandWidth: 122.88 
Times: 0.003304 BandWidth: 121.10 
Times: 0.003263 BandWidth: 122.62 
Times: 0.003256 BandWidth: 122.89 
Times: 0.003249 BandWidth: 123.15 
Times: 0.003263 BandWidth: 122.62 
Times: 0.003282 BandWidth: 121.90 
Times: 0.003263 BandWidth: 122.62 
Times: 0.003315 BandWidth: 120.69 
Times: 0.003257 BandWidth: 122.84 
Times: 0.003289 BandWidth: 121.65 
Times: 0.003263 BandWidth: 122.62 
Times: 0.005467 BandWidth: 73.18 
Times: 0.003253 BandWidth: 122.99 
Times: 0.003259 BandWidth: 122.76 
Times: 0.003257 BandWidth: 122.84 
Times: 0.003259 BandWidth: 122.77 
Times: 0.003255 BandWidth: 122.92 
Times: 0.003261 BandWidth: 122.70 
Times: 0.003294 BandWidth: 121.46 
Times: 0.003267 BandWidth: 122.47 
Times: 0.003259 BandWidth: 122.77 
Times: 0.003256 BandWidth: 122.89 
Times: 0.003264 BandWidth: 122.58 
Times: 0.003305 BandWidth: 121.06 
Times: 0.003281 BandWidth: 121.94 
Times: 0.003256 BandWidth: 122.88 
Times: 0.003256 BandWidth: 122.89 
Times: 0.003243 BandWidth: 123.37 
Times: 0.003264 BandWidth: 122.58 
Times: 0.003284 BandWidth: 121.83 
Times: 0.003250 BandWidth: 123.10 
Times: 0.003292 BandWidth: 121.54 
Times: 0.003291 BandWidth: 121.58 
Times: 0.003258 BandWidth: 122.81 
Times: 0.003252 BandWidth: 123.03 
Times: 0.003250 BandWidth: 123.11 
Times: 0.003302 BandWidth: 121.17 
Times: 0.003291 BandWidth: 121.58 
Times: 0.003320 BandWidth: 120.51 
Times: 0.003352 BandWidth: 119.36 
Times: 0.003255 BandWidth: 122.92 
Times: 0.003279 BandWidth: 122.01 
Times: 0.003255 BandWidth: 122.92 
Times: 0.003296 BandWidth: 121.38 
Times: 0.003250 BandWidth: 123.11 
Times: 0.003347 BandWidth: 119.53 
Times: 0.003258 BandWidth: 122.81 
Times: 0.003258 BandWidth: 122.81 
Times: 0.003374 BandWidth: 118.59 
Times: 0.003253 BandWidth: 122.99 
Times: 0.003259 BandWidth: 122.76 
Times: 0.003262 BandWidth: 122.65 
Times: 0.003267 BandWidth: 122.47 
Times: 0.003285 BandWidth: 121.80 
Times: 0.003324 BandWidth: 120.37 
Times: 0.003258 BandWidth: 122.81 
Times: 0.003310 BandWidth: 120.88 
Times: 0.003290 BandWidth: 121.61 
Times: 0.003255 BandWidth: 122.91 
