
 This benchmark computes real vector y=alpha*A*x+beta*y, where A is matrix, y and x are vectors alpha and beta are scalars

 1) m : 5000 n: 20000 nb: 200 alpha: 1.000000 beta: 0.000000 nruns: 2000

--------------------------------------------------------------------------
By default, for Open MPI 4.0 and later, infiniband ports on a device
are not used by default.  The intent is to use UCX for these devices.
You can override this policy by setting the btl_openib_allow_ib MCA parameter
to true.

  Local host:              nirvana
  Local adapter:           mlx5_2
  Local port:              1

--------------------------------------------------------------------------
--------------------------------------------------------------------------
WARNING: There was an error initializing an OpenFabrics device.

  Local host:   nirvana
  Local device: mlx5_2
--------------------------------------------------------------------------
stream size is 2 
Aurow 5000 Aucol 5000 Avrow 1250 Avcol 20000 nt 100 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
Times: 0.001452 BandWidth: 275.56 
Times: 0.001462 BandWidth: 273.67 
Times: 0.001457 BandWidth: 274.61 
Times: 0.001458 BandWidth: 274.43 
Times: 0.001502 BandWidth: 266.37 
Times: 0.001470 BandWidth: 272.16 
Times: 0.001452 BandWidth: 275.56 
Times: 0.001458 BandWidth: 274.43 
Times: 0.001444 BandWidth: 277.06 
Times: 0.001487 BandWidth: 269.06 
Times: 0.001446 BandWidth: 276.69 
Times: 0.001456 BandWidth: 274.79 
Times: 0.001460 BandWidth: 274.03 
Times: 0.001491 BandWidth: 268.33 
Times: 0.001476 BandWidth: 271.11 
Times: 0.001460 BandWidth: 274.03 
Times: 0.001459 BandWidth: 274.25 
Times: 0.001466 BandWidth: 272.91 
Times: 0.001458 BandWidth: 274.43 
Times: 0.001486 BandWidth: 269.28 
Times: 0.001443 BandWidth: 277.29 
Times: 0.001452 BandWidth: 275.51 
Times: 0.001462 BandWidth: 273.67 
Times: 0.001475 BandWidth: 271.28 
Times: 0.001452 BandWidth: 275.56 
Times: 0.001484 BandWidth: 269.58 
Times: 0.001466 BandWidth: 272.96 
Times: 0.001484 BandWidth: 269.62 
Times: 0.001491 BandWidth: 268.37 
Times: 0.001457 BandWidth: 274.61 
Times: 0.001472 BandWidth: 271.81 
Times: 0.001463 BandWidth: 273.49 
Times: 0.001461 BandWidth: 273.85 
Times: 0.001504 BandWidth: 266.03 
Times: 0.001496 BandWidth: 267.48 
Times: 0.001484 BandWidth: 269.58 
Times: 0.001477 BandWidth: 270.89 
Times: 0.001502 BandWidth: 266.37 
Times: 0.001467 BandWidth: 272.74 
Times: 0.001471 BandWidth: 272.03 
Times: 0.001472 BandWidth: 271.81 
Times: 0.001482 BandWidth: 269.97 
Times: 0.001460 BandWidth: 274.07 
Times: 0.001488 BandWidth: 268.89 
Times: 0.001463 BandWidth: 273.49 
Times: 0.001467 BandWidth: 272.74 
Times: 0.001527 BandWidth: 262.00 
Times: 0.001491 BandWidth: 268.33 
Times: 0.001471 BandWidth: 272.03 
Times: 0.001474 BandWidth: 271.41 
Times: 0.001460 BandWidth: 274.03 
Times: 0.001488 BandWidth: 268.89 
Times: 0.001476 BandWidth: 271.11 
Times: 0.001470 BandWidth: 272.16 
Times: 0.001464 BandWidth: 273.31 
Times: 0.001479 BandWidth: 270.54 
Times: 0.001474 BandWidth: 271.41 
Times: 0.001467 BandWidth: 272.74 
Times: 0.001465 BandWidth: 273.09 
Times: 0.001487 BandWidth: 269.06 
Times: 0.001494 BandWidth: 267.77 
Times: 0.001489 BandWidth: 268.72 
Times: 0.001442 BandWidth: 277.47 
Times: 0.001497 BandWidth: 267.26 
Times: 0.001504 BandWidth: 265.99 
Times: 0.001559 BandWidth: 256.64 
Times: 0.001544 BandWidth: 259.13 
Times: 0.001556 BandWidth: 257.15 
Times: 0.001490 BandWidth: 268.50 
Times: 0.001469 BandWidth: 272.38 
Times: 0.001573 BandWidth: 254.34 
Times: 0.001509 BandWidth: 265.11 
Times: 0.001511 BandWidth: 264.82 
Times: 0.001476 BandWidth: 271.06 
Times: 0.001524 BandWidth: 262.50 
Times: 0.001519 BandWidth: 263.36 
Times: 0.001521 BandWidth: 263.07 
Times: 0.001504 BandWidth: 266.03 
Times: 0.001504 BandWidth: 265.99 
Times: 0.001533 BandWidth: 261.03 
Times: 0.001492 BandWidth: 268.16 
Times: 0.001508 BandWidth: 265.32 
Times: 0.001457 BandWidth: 274.61 
Times: 0.001515 BandWidth: 264.11 
Times: 0.001500 BandWidth: 266.75 
Times: 0.001524 BandWidth: 262.54 
Times: 0.001511 BandWidth: 264.82 
Times: 0.001537 BandWidth: 260.34 
Times: 0.001562 BandWidth: 256.13 
Times: 0.001472 BandWidth: 271.81 
Times: 0.001510 BandWidth: 264.98 
Times: 0.001486 BandWidth: 269.23 
Times: 0.001495 BandWidth: 267.60 
Times: 0.001465 BandWidth: 273.09 
Times: 0.001498 BandWidth: 267.09 
Times: 0.001521 BandWidth: 263.07 
Times: 0.001497 BandWidth: 267.26 
Times: 0.001506 BandWidth: 265.65 
Times: 0.001489 BandWidth: 268.72 
Times: 0.001485 BandWidth: 269.45 
Times: 0.001496 BandWidth: 267.48 
Times: 0.001481 BandWidth: 270.15 
Times: 0.001458 BandWidth: 274.43 
Times: 0.001491 BandWidth: 268.37 
Times: 0.001481 BandWidth: 270.15 
Times: 0.001439 BandWidth: 278.07 
Times: 0.001473 BandWidth: 271.63 
Times: 0.001494 BandWidth: 267.77 
Times: 0.001476 BandWidth: 271.06 
Times: 0.001503 BandWidth: 266.20 
Times: 0.001451 BandWidth: 275.74 
Times: 0.001452 BandWidth: 275.56 
Times: 0.001462 BandWidth: 273.67 
Times: 0.001473 BandWidth: 271.63 
Times: 0.001464 BandWidth: 273.27 
Times: 0.001452 BandWidth: 275.51 
Times: 0.001423 BandWidth: 281.19 
Times: 0.001432 BandWidth: 279.36 
Times: 0.001420 BandWidth: 281.76 
Times: 0.001462 BandWidth: 273.67 
Times: 0.001454 BandWidth: 275.20 
Times: 0.001483 BandWidth: 269.75 
Times: 0.001452 BandWidth: 275.56 
Times: 0.001493 BandWidth: 267.99 
Times: 0.001443 BandWidth: 277.29 
Times: 0.001492 BandWidth: 268.16 
Times: 0.001452 BandWidth: 275.56 
Times: 0.001466 BandWidth: 272.91 
Times: 0.001477 BandWidth: 270.89 
Times: 0.001451 BandWidth: 275.74 
Times: 0.001466 BandWidth: 272.96 
Times: 0.001472 BandWidth: 271.81 
Times: 0.001578 BandWidth: 253.57 
Times: 0.001557 BandWidth: 256.95 
Times: 0.001444 BandWidth: 277.10 
Times: 0.001514 BandWidth: 264.27 
Times: 0.001482 BandWidth: 269.97 
Times: 0.001503 BandWidth: 266.20 
Times: 0.001474 BandWidth: 271.46 
Times: 0.001507 BandWidth: 265.49 
Times: 0.001498 BandWidth: 267.09 
Times: 0.001460 BandWidth: 274.03 
Times: 0.001506 BandWidth: 265.65 
Times: 0.001483 BandWidth: 269.80 
Times: 0.001450 BandWidth: 275.92 
Times: 0.001504 BandWidth: 266.03 
Times: 0.001472 BandWidth: 271.81 
Times: 0.001462 BandWidth: 273.67 
Times: 0.001497 BandWidth: 267.26 
Times: 0.001461 BandWidth: 273.85 
Times: 0.001444 BandWidth: 277.10 
Times: 0.001511 BandWidth: 264.82 
Times: 0.001584 BandWidth: 252.62 
Times: 0.001476 BandWidth: 271.06 
Times: 0.001462 BandWidth: 273.67 
Times: 0.001463 BandWidth: 273.49 
Times: 0.001455 BandWidth: 274.97 
Times: 0.001486 BandWidth: 269.28 
Times: 0.001457 BandWidth: 274.61 
Times: 0.001445 BandWidth: 276.88 
Times: 0.001448 BandWidth: 276.28 
Times: 0.001446 BandWidth: 276.69 
Times: 0.001454 BandWidth: 275.15 
Times: 0.001448 BandWidth: 276.33 
Times: 0.001468 BandWidth: 272.56 
Times: 0.001451 BandWidth: 275.74 
Times: 0.001467 BandWidth: 272.74 
Times: 0.001476 BandWidth: 271.06 
Times: 0.001475 BandWidth: 271.24 
Times: 0.001471 BandWidth: 271.98 
Times: 0.001462 BandWidth: 273.62 
Times: 0.001451 BandWidth: 275.74 
Times: 0.001443 BandWidth: 277.29 
Times: 0.001462 BandWidth: 273.67 
Times: 0.001505 BandWidth: 265.87 
Times: 0.001481 BandWidth: 270.15 
Times: 0.001474 BandWidth: 271.46 
Times: 0.001465 BandWidth: 273.09 
Times: 0.001480 BandWidth: 270.32 
Times: 0.001468 BandWidth: 272.56 
Times: 0.001475 BandWidth: 271.28 
Times: 0.001504 BandWidth: 266.03 
Times: 0.001475 BandWidth: 271.24 
Times: 0.001450 BandWidth: 275.92 
Times: 0.001465 BandWidth: 273.13 
Times: 0.001464 BandWidth: 273.27 
Times: 0.001458 BandWidth: 274.43 
Times: 0.001495 BandWidth: 267.65 
Times: 0.001477 BandWidth: 270.89 
Times: 0.001486 BandWidth: 269.23 
Times: 0.001513 BandWidth: 264.44 
Times: 0.001572 BandWidth: 254.50 
Times: 0.001507 BandWidth: 265.49 
Times: 0.001473 BandWidth: 271.63 
Times: 0.001476 BandWidth: 271.06 
Times: 0.001464 BandWidth: 273.31 
Times: 0.001477 BandWidth: 270.89 
Times: 0.001458 BandWidth: 274.43 
Times: 0.001465 BandWidth: 273.09 
Times: 0.001474 BandWidth: 271.41 
Times: 0.001471 BandWidth: 271.98 
Times: 0.001459 BandWidth: 274.21 
Times: 0.001491 BandWidth: 268.37 
Times: 0.001465 BandWidth: 273.09 
Times: 0.001452 BandWidth: 275.56 
Times: 0.001508 BandWidth: 265.32 
Times: 0.001472 BandWidth: 271.81 
Times: 0.001495 BandWidth: 267.60 
Times: 0.001484 BandWidth: 269.62 
Times: 0.001523 BandWidth: 262.70 
Times: 0.001466 BandWidth: 272.91 
Times: 0.001477 BandWidth: 270.89 
Times: 0.001479 BandWidth: 270.49 
Times: 0.001502 BandWidth: 266.37 
Times: 0.001557 BandWidth: 256.95 
Times: 0.001579 BandWidth: 253.38 
Times: 0.001488 BandWidth: 268.89 
Times: 0.001469 BandWidth: 272.34 
Times: 0.001467 BandWidth: 272.74 
Times: 0.001512 BandWidth: 264.61 
Times: 0.001468 BandWidth: 272.56 
Times: 0.001494 BandWidth: 267.77 
Times: 0.001468 BandWidth: 272.56 
Times: 0.001467 BandWidth: 272.74 
Times: 0.001493 BandWidth: 267.95 
Times: 0.001498 BandWidth: 267.09 
Times: 0.001504 BandWidth: 266.03 
Times: 0.001476 BandWidth: 271.11 
Times: 0.001518 BandWidth: 263.57 
Times: 0.001463 BandWidth: 273.49 
Times: 0.001488 BandWidth: 268.89 
Times: 0.001485 BandWidth: 269.45 
Times: 0.001492 BandWidth: 268.16 
Times: 0.001535 BandWidth: 260.66 
Times: 0.001509 BandWidth: 265.11 
Times: 0.001478 BandWidth: 270.71 
Times: 0.001466 BandWidth: 272.91 
