
 This benchmark computes real vector y=alpha*A*x+beta*y, where A is matrix, y and x are vectors alpha and beta are scalars

 1) m : 5000 n: 20000 nb: 200 alpha: 1.000000 beta: 0.000000 nruns: 2000

--------------------------------------------------------------------------
By default, for Open MPI 4.0 and later, infiniband ports on a device
are not used by default.  The intent is to use UCX for these devices.
You can override this policy by setting the btl_openib_allow_ib MCA parameter
to true.

  Local host:              samsara
  Local adapter:           mlx5_2
  Local port:              1

--------------------------------------------------------------------------
--------------------------------------------------------------------------
WARNING: There was an error initializing an OpenFabrics device.

  Local host:   samsara
  Local device: mlx5_2
--------------------------------------------------------------------------
stream size is 2 
Aurow 5000 Aucol 5000 Avrow 1250 Avcol 20000 nt 100 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
Times: 0.003446 BandWidth: 116.10 
Times: 0.003460 BandWidth: 115.64 
Times: 0.003449 BandWidth: 116.01 
Times: 0.003443 BandWidth: 116.21 
Times: 0.003448 BandWidth: 116.04 
Times: 0.003446 BandWidth: 116.10 
Times: 0.003451 BandWidth: 115.94 
Times: 0.003450 BandWidth: 115.97 
Times: 0.003448 BandWidth: 116.04 
Times: 0.003447 BandWidth: 116.07 
Times: 0.003448 BandWidth: 116.04 
Times: 0.003449 BandWidth: 116.01 
Times: 0.003453 BandWidth: 115.87 
Times: 0.003442 BandWidth: 116.24 
Times: 0.013192 BandWidth: 30.33 
Times: 0.003443 BandWidth: 116.21 
Times: 0.003440 BandWidth: 116.31 
Times: 0.003449 BandWidth: 116.00 
Times: 0.003438 BandWidth: 116.38 
Times: 0.003438 BandWidth: 116.38 
Times: 0.003441 BandWidth: 116.27 
Times: 0.003442 BandWidth: 116.25 
Times: 0.003442 BandWidth: 116.24 
Times: 0.003442 BandWidth: 116.24 
Times: 0.003440 BandWidth: 116.31 
Times: 0.003444 BandWidth: 116.17 
Times: 0.003442 BandWidth: 116.24 
Times: 0.003462 BandWidth: 115.57 
Times: 0.003442 BandWidth: 116.24 
Times: 0.003439 BandWidth: 116.34 
Times: 0.004691 BandWidth: 85.29 
Times: 0.003448 BandWidth: 116.04 
Times: 0.003445 BandWidth: 116.14 
Times: 0.003443 BandWidth: 116.21 
Times: 0.003443 BandWidth: 116.21 
Times: 0.003446 BandWidth: 116.10 
Times: 0.003444 BandWidth: 116.17 
Times: 0.003450 BandWidth: 115.97 
Times: 0.003441 BandWidth: 116.28 
Times: 0.003443 BandWidth: 116.21 
Times: 0.003442 BandWidth: 116.24 
Times: 0.003598 BandWidth: 111.20 
Times: 0.003441 BandWidth: 116.28 
Times: 0.003530 BandWidth: 113.35 
Times: 0.003440 BandWidth: 116.31 
Times: 0.003443 BandWidth: 116.21 
Times: 0.003441 BandWidth: 116.28 
Times: 0.003445 BandWidth: 116.14 
Times: 0.003442 BandWidth: 116.25 
Times: 0.003446 BandWidth: 116.11 
Times: 0.003440 BandWidth: 116.31 
Times: 0.003444 BandWidth: 116.17 
Times: 0.003443 BandWidth: 116.21 
Times: 0.003448 BandWidth: 116.04 
Times: 0.003443 BandWidth: 116.21 
Times: 0.003447 BandWidth: 116.07 
Times: 0.003457 BandWidth: 115.73 
Times: 0.003447 BandWidth: 116.07 
Times: 0.003448 BandWidth: 116.04 
Times: 0.003445 BandWidth: 116.13 
Times: 0.003442 BandWidth: 116.25 
Times: 0.003442 BandWidth: 116.24 
Times: 0.003443 BandWidth: 116.21 
Times: 0.003443 BandWidth: 116.21 
Times: 0.003443 BandWidth: 116.21 
Times: 0.003440 BandWidth: 116.30 
Times: 0.003438 BandWidth: 116.38 
Times: 0.003442 BandWidth: 116.24 
Times: 0.003437 BandWidth: 116.41 
Times: 0.003438 BandWidth: 116.38 
Times: 0.003438 BandWidth: 116.38 
Times: 0.003440 BandWidth: 116.31 
Times: 0.003457 BandWidth: 115.74 
Times: 0.003442 BandWidth: 116.25 
Times: 0.003440 BandWidth: 116.31 
Times: 0.003439 BandWidth: 116.34 
Times: 0.003446 BandWidth: 116.10 
Times: 0.003459 BandWidth: 115.66 
Times: 0.003439 BandWidth: 116.34 
Times: 0.003437 BandWidth: 116.41 
Times: 0.003449 BandWidth: 116.00 
Times: 0.003436 BandWidth: 116.45 
Times: 0.003446 BandWidth: 116.11 
Times: 0.003438 BandWidth: 116.38 
Times: 0.003448 BandWidth: 116.04 
Times: 0.003445 BandWidth: 116.14 
Times: 0.003445 BandWidth: 116.14 
Times: 0.003444 BandWidth: 116.17 
Times: 0.003440 BandWidth: 116.31 
Times: 0.003442 BandWidth: 116.24 
Times: 0.003444 BandWidth: 116.17 
Times: 0.003441 BandWidth: 116.27 
Times: 0.003449 BandWidth: 116.01 
Times: 0.003444 BandWidth: 116.17 
Times: 0.003443 BandWidth: 116.21 
Times: 0.003440 BandWidth: 116.31 
Times: 0.003444 BandWidth: 116.17 
Times: 0.003439 BandWidth: 116.34 
Times: 0.003441 BandWidth: 116.27 
Times: 0.003437 BandWidth: 116.41 
Times: 0.003457 BandWidth: 115.73 
Times: 0.003439 BandWidth: 116.34 
Times: 0.003441 BandWidth: 116.28 
Times: 0.003443 BandWidth: 116.21 
Times: 0.003440 BandWidth: 116.31 
Times: 0.003436 BandWidth: 116.45 
Times: 0.003437 BandWidth: 116.41 
Times: 0.003445 BandWidth: 116.14 
Times: 0.003438 BandWidth: 116.38 
Times: 0.003441 BandWidth: 116.28 
Times: 0.003439 BandWidth: 116.34 
Times: 0.003442 BandWidth: 116.24 
Times: 0.003437 BandWidth: 116.41 
Times: 0.003475 BandWidth: 115.14 
Times: 0.003454 BandWidth: 115.84 
Times: 0.003448 BandWidth: 116.05 
Times: 0.003442 BandWidth: 116.24 
Times: 0.003445 BandWidth: 116.14 
Times: 0.003441 BandWidth: 116.28 
Times: 0.003443 BandWidth: 116.21 
Times: 0.003439 BandWidth: 116.34 
Times: 0.003444 BandWidth: 116.17 
Times: 0.003442 BandWidth: 116.25 
Times: 0.003446 BandWidth: 116.11 
Times: 0.003442 BandWidth: 116.24 
Times: 0.003438 BandWidth: 116.38 
Times: 0.003444 BandWidth: 116.17 
Times: 0.003442 BandWidth: 116.24 
Times: 0.003442 BandWidth: 116.24 
Times: 0.003462 BandWidth: 115.57 
Times: 0.003440 BandWidth: 116.31 
Times: 0.003443 BandWidth: 116.21 
Times: 0.003440 BandWidth: 116.30 
Times: 0.003446 BandWidth: 116.10 
Times: 0.003442 BandWidth: 116.25 
Times: 0.003606 BandWidth: 110.96 
Times: 0.003446 BandWidth: 116.11 
Times: 0.003444 BandWidth: 116.17 
Times: 0.003437 BandWidth: 116.42 
Times: 0.003443 BandWidth: 116.21 
Times: 0.003441 BandWidth: 116.28 
Times: 0.003445 BandWidth: 116.14 
Times: 0.003444 BandWidth: 116.17 
Times: 0.003457 BandWidth: 115.73 
Times: 0.003440 BandWidth: 116.31 
Times: 0.003451 BandWidth: 115.93 
Times: 0.003446 BandWidth: 116.11 
Times: 0.003445 BandWidth: 116.14 
Times: 0.003441 BandWidth: 116.28 
Times: 0.003442 BandWidth: 116.24 
Times: 0.003442 BandWidth: 116.24 
Times: 0.003448 BandWidth: 116.04 
Times: 0.003442 BandWidth: 116.24 
Times: 0.003448 BandWidth: 116.04 
Times: 0.003440 BandWidth: 116.31 
Times: 0.003438 BandWidth: 116.38 
Times: 0.003447 BandWidth: 116.07 
Times: 0.003441 BandWidth: 116.27 
Times: 0.003464 BandWidth: 115.50 
Times: 0.003440 BandWidth: 116.31 
Times: 0.003445 BandWidth: 116.13 
Times: 0.003441 BandWidth: 116.28 
Times: 0.003445 BandWidth: 116.13 
Times: 0.003444 BandWidth: 116.17 
Times: 0.003447 BandWidth: 116.07 
Times: 0.003438 BandWidth: 116.38 
Times: 0.003449 BandWidth: 116.00 
Times: 0.003441 BandWidth: 116.28 
Times: 0.003467 BandWidth: 115.40 
Times: 0.003441 BandWidth: 116.28 
Times: 0.003447 BandWidth: 116.08 
Times: 0.003441 BandWidth: 116.27 
Times: 0.003457 BandWidth: 115.73 
Times: 0.003445 BandWidth: 116.14 
Times: 0.003446 BandWidth: 116.10 
Times: 0.003440 BandWidth: 116.31 
Times: 0.003450 BandWidth: 115.97 
Times: 0.003439 BandWidth: 116.34 
Times: 0.003443 BandWidth: 116.21 
Times: 0.003442 BandWidth: 116.24 
Times: 0.003446 BandWidth: 116.11 
Times: 0.003439 BandWidth: 116.34 
Times: 0.003445 BandWidth: 116.14 
Times: 0.003446 BandWidth: 116.10 
Times: 0.003445 BandWidth: 116.14 
Times: 0.003442 BandWidth: 116.24 
Times: 0.003448 BandWidth: 116.04 
Times: 0.003457 BandWidth: 115.73 
Times: 0.003447 BandWidth: 116.07 
Times: 0.003436 BandWidth: 116.44 
Times: 0.003444 BandWidth: 116.17 
Times: 0.003442 BandWidth: 116.24 
Times: 0.003439 BandWidth: 116.34 
Times: 0.003440 BandWidth: 116.30 
Times: 0.003442 BandWidth: 116.24 
Times: 0.003442 BandWidth: 116.25 
Times: 0.003439 BandWidth: 116.34 
Times: 0.003443 BandWidth: 116.21 
Times: 0.003435 BandWidth: 116.47 
Times: 0.003447 BandWidth: 116.08 
Times: 0.003440 BandWidth: 116.31 
Times: 0.003454 BandWidth: 115.84 
Times: 0.003438 BandWidth: 116.38 
Times: 0.003449 BandWidth: 116.01 
Times: 0.003438 BandWidth: 116.38 
Times: 0.003442 BandWidth: 116.24 
Times: 0.003442 BandWidth: 116.24 
Times: 0.003449 BandWidth: 116.01 
Times: 0.003437 BandWidth: 116.41 
Times: 0.003444 BandWidth: 116.17 
Times: 0.003442 BandWidth: 116.24 
Times: 0.003445 BandWidth: 116.14 
Times: 0.003440 BandWidth: 116.30 
Times: 0.003445 BandWidth: 116.14 
Times: 0.003440 BandWidth: 116.31 
Times: 0.003444 BandWidth: 116.17 
Times: 0.003461 BandWidth: 115.61 
Times: 0.003446 BandWidth: 116.10 
Times: 0.003442 BandWidth: 116.24 
Times: 0.003443 BandWidth: 116.21 
Times: 0.003438 BandWidth: 116.38 
Times: 0.003443 BandWidth: 116.21 
Times: 0.003440 BandWidth: 116.31 
Times: 0.003440 BandWidth: 116.30 
Times: 0.003444 BandWidth: 116.17 
Times: 0.003442 BandWidth: 116.24 
Times: 0.003442 BandWidth: 116.24 
Times: 0.003437 BandWidth: 116.42 
Times: 0.003439 BandWidth: 116.34 
Times: 0.003444 BandWidth: 116.17 
Times: 0.003451 BandWidth: 115.93 
Times: 0.003441 BandWidth: 116.28 
Times: 0.003443 BandWidth: 116.21 
Times: 0.003438 BandWidth: 116.38 
Times: 0.003446 BandWidth: 116.10 
Times: 0.003443 BandWidth: 116.21 
Times: 0.003445 BandWidth: 116.14 
