--------------------------------------------------------------------------
WARNING: There was an error initializing an OpenFabrics device.

  Local host:   rl-dgxa-c24-u34
  Local device: mlx5_0
--------------------------------------------------------------------------
[rl-dgxa-c24-u34:122728] mca_base_component_repository_open: unable to open mca_pml_ucx: libucp.so.0: cannot open shared object file: No such file or directory (ignored)
[rl-dgxa-c24-u34:122728] mca_base_component_repository_open: unable to open mca_osc_ucx: libucp.so.0: cannot open shared object file: No such file or directory (ignored)
% MAGMA 2.5.4  compiled for CUDA capability >= 8.0, 32-bit magma_int_t, 64-bit pointer.
% CUDA runtime 11000, driver 11000. OpenMP threads 2. MKL 2021.0.1, MKL threads 1. 
% device 0: A100-SXM4-40GB, 1410.0 MHz clock, 40537.2 MiB memory, capability 8.0
% Sun Mar 21 20:21:35 2021
world size (GPU number) is 1
Aurow 5000 Aucol 5000 Avrow 1250 Avcol 20000 nt 100 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
nruns is 2000 
Times: 0.000981 BandWidth: 407.91 
Times: 0.000910 BandWidth: 439.65 
Times: 0.000906 BandWidth: 441.62 
Times: 0.000908 BandWidth: 440.69 
Times: 0.000913 BandWidth: 438.27 
Times: 0.000905 BandWidth: 442.08 
Times: 0.000907 BandWidth: 441.15 
Times: 0.000911 BandWidth: 439.19 
Times: 0.000907 BandWidth: 441.15 
Times: 0.000908 BandWidth: 440.69 
Times: 0.000906 BandWidth: 441.62 
Times: 0.000912 BandWidth: 438.62 
Times: 0.000909 BandWidth: 440.11 
Times: 0.000906 BandWidth: 441.62 
Times: 0.000909 BandWidth: 440.11 
Times: 0.000914 BandWidth: 437.70 
Times: 0.000910 BandWidth: 439.65 
Times: 0.000912 BandWidth: 438.73 
Times: 0.000913 BandWidth: 438.27 
Times: 0.000905 BandWidth: 442.08 
Times: 0.000908 BandWidth: 440.69 
Times: 0.000912 BandWidth: 438.73 
Times: 0.000912 BandWidth: 438.73 
Times: 0.000912 BandWidth: 438.62 
Times: 0.000908 BandWidth: 440.69 
Times: 0.000909 BandWidth: 440.11 
Times: 0.000907 BandWidth: 441.15 
Times: 0.000911 BandWidth: 439.19 
Times: 0.000908 BandWidth: 440.69 
Times: 0.000907 BandWidth: 441.15 
Times: 0.000906 BandWidth: 441.62 
Times: 0.000908 BandWidth: 440.57 
Times: 0.000907 BandWidth: 441.15 
Times: 0.000907 BandWidth: 441.15 
Times: 0.000909 BandWidth: 440.11 
Times: 0.000912 BandWidth: 438.62 
Times: 0.000906 BandWidth: 441.62 
Times: 0.000908 BandWidth: 440.69 
Times: 0.000911 BandWidth: 439.19 
Times: 0.000905 BandWidth: 442.08 
Times: 0.000908 BandWidth: 440.57 
Times: 0.000912 BandWidth: 438.62 
Times: 0.000906 BandWidth: 441.62 
Times: 0.000908 BandWidth: 440.57 
Times: 0.000910 BandWidth: 439.65 
Times: 0.000911 BandWidth: 439.19 
Times: 0.000909 BandWidth: 440.11 
Times: 0.000905 BandWidth: 442.08 
Times: 0.000909 BandWidth: 440.11 
Times: 0.000909 BandWidth: 440.11 
Times: 0.000906 BandWidth: 441.62 
Times: 0.000907 BandWidth: 441.15 
Times: 0.000909 BandWidth: 440.11 
Times: 0.000909 BandWidth: 440.11 
Times: 0.000908 BandWidth: 440.69 
Times: 0.000908 BandWidth: 440.69 
Times: 0.000910 BandWidth: 439.65 
Times: 0.000908 BandWidth: 440.57 
Times: 0.000964 BandWidth: 414.97 
Times: 0.000912 BandWidth: 438.73 
Times: 0.000913 BandWidth: 438.27 
Times: 0.000909 BandWidth: 440.23 
Times: 0.000906 BandWidth: 441.62 
Times: 0.000907 BandWidth: 441.04 
Times: 0.000912 BandWidth: 438.73 
Times: 0.000907 BandWidth: 441.15 
Times: 0.000906 BandWidth: 441.50 
Times: 0.000911 BandWidth: 439.19 
Times: 0.000910 BandWidth: 439.76 
Times: 0.000907 BandWidth: 441.15 
Times: 0.000914 BandWidth: 437.70 
Times: 0.000911 BandWidth: 439.19 
Times: 0.000911 BandWidth: 439.19 
Times: 0.000907 BandWidth: 441.04 
Times: 0.000908 BandWidth: 440.69 
Times: 0.000909 BandWidth: 440.23 
Times: 0.000910 BandWidth: 439.65 
Times: 0.000907 BandWidth: 441.15 
Times: 0.000907 BandWidth: 441.15 
Times: 0.000914 BandWidth: 437.70 
Times: 0.000906 BandWidth: 441.62 
Times: 0.000910 BandWidth: 439.76 
Times: 0.000912 BandWidth: 438.73 
Times: 0.000910 BandWidth: 439.65 
Times: 0.000908 BandWidth: 440.69 
Times: 0.000913 BandWidth: 438.27 
Times: 0.000907 BandWidth: 441.15 
Times: 0.000910 BandWidth: 439.65 
Times: 0.000906 BandWidth: 441.62 
Times: 0.000909 BandWidth: 440.11 
Times: 0.000907 BandWidth: 441.04 
Times: 0.000911 BandWidth: 439.19 
Times: 0.000908 BandWidth: 440.57 
Times: 0.000905 BandWidth: 442.08 
Times: 0.000908 BandWidth: 440.69 
Times: 0.000910 BandWidth: 439.65 
Times: 0.000908 BandWidth: 440.69 
Times: 0.000909 BandWidth: 440.11 
Times: 0.000905 BandWidth: 442.08 
Times: 0.000907 BandWidth: 441.15 
Times: 0.000909 BandWidth: 440.23 
Times: 0.000913 BandWidth: 438.27 
Times: 0.000910 BandWidth: 439.65 
Times: 0.000907 BandWidth: 441.15 
Times: 0.000905 BandWidth: 442.08 
Times: 0.000904 BandWidth: 442.55 
Times: 0.000906 BandWidth: 441.62 
Times: 0.000909 BandWidth: 440.11 
Times: 0.000911 BandWidth: 439.19 
Times: 0.000909 BandWidth: 440.11 
Times: 0.000909 BandWidth: 440.11 
Times: 0.000905 BandWidth: 442.08 
Times: 0.000909 BandWidth: 440.23 
Times: 0.000908 BandWidth: 440.69 
Times: 0.000906 BandWidth: 441.62 
Times: 0.000910 BandWidth: 439.65 
Times: 0.000914 BandWidth: 437.70 
Times: 0.000813 BandWidth: 492.12 
Times: 0.000797 BandWidth: 501.99 
Times: 0.000792 BandWidth: 505.16 
Times: 0.000795 BandWidth: 503.19 
Times: 0.000791 BandWidth: 505.92 
Times: 0.000794 BandWidth: 503.79 
Times: 0.000794 BandWidth: 503.95 
Times: 0.000794 BandWidth: 503.95 
Times: 0.000794 BandWidth: 503.95 
Times: 0.000792 BandWidth: 505.31 
Times: 0.000790 BandWidth: 506.53 
Times: 0.000794 BandWidth: 503.79 
Times: 0.000792 BandWidth: 505.16 
Times: 0.000796 BandWidth: 502.74 
Times: 0.000793 BandWidth: 504.55 
Times: 0.000791 BandWidth: 505.92 
Times: 0.000794 BandWidth: 503.95 
Times: 0.000794 BandWidth: 503.79 
Times: 0.000792 BandWidth: 505.16 
Times: 0.000793 BandWidth: 504.55 
Times: 0.000789 BandWidth: 507.14 
Times: 0.000792 BandWidth: 505.16 
Times: 0.000793 BandWidth: 504.55 
Times: 0.000794 BandWidth: 503.79 
Times: 0.000793 BandWidth: 504.55 
Times: 0.000798 BandWidth: 501.39 
Times: 0.000792 BandWidth: 505.16 
Times: 0.000792 BandWidth: 505.16 
Times: 0.000793 BandWidth: 504.55 
Times: 0.000792 BandWidth: 505.16 
Times: 0.000793 BandWidth: 504.55 
Times: 0.000793 BandWidth: 504.55 
Times: 0.000793 BandWidth: 504.40 
Times: 0.000794 BandWidth: 503.95 
Times: 0.000790 BandWidth: 506.38 
Times: 0.000796 BandWidth: 502.74 
Times: 0.000793 BandWidth: 504.55 
Times: 0.000796 BandWidth: 502.74 
Times: 0.000793 BandWidth: 504.55 
Times: 0.000794 BandWidth: 503.79 
Times: 0.000795 BandWidth: 503.34 
Times: 0.000792 BandWidth: 505.16 
Times: 0.000794 BandWidth: 503.79 
Times: 0.000792 BandWidth: 505.16 
Times: 0.000793 BandWidth: 504.55 
Times: 0.000795 BandWidth: 503.19 
Times: 0.000795 BandWidth: 503.19 
Times: 0.000792 BandWidth: 505.16 
Times: 0.000792 BandWidth: 505.16 
Times: 0.000794 BandWidth: 503.95 
Times: 0.000792 BandWidth: 505.16 
Times: 0.000792 BandWidth: 505.16 
Times: 0.000792 BandWidth: 505.16 
Times: 0.000792 BandWidth: 505.16 
Times: 0.000793 BandWidth: 504.55 
Times: 0.000797 BandWidth: 501.99 
Times: 0.000793 BandWidth: 504.40 
Times: 0.000795 BandWidth: 503.34 
Times: 0.000795 BandWidth: 503.34 
Times: 0.000795 BandWidth: 503.34 
Times: 0.000792 BandWidth: 505.31 
Times: 0.000794 BandWidth: 503.79 
Times: 0.000794 BandWidth: 503.95 
Times: 0.000792 BandWidth: 505.16 
Times: 0.000792 BandWidth: 505.16 
Times: 0.000796 BandWidth: 502.59 
Times: 0.000799 BandWidth: 500.79 
Times: 0.000796 BandWidth: 502.59 
Times: 0.000796 BandWidth: 502.59 
Times: 0.000792 BandWidth: 505.16 
Times: 0.000792 BandWidth: 505.16 
Times: 0.000796 BandWidth: 502.59 
Times: 0.000793 BandWidth: 504.55 
Times: 0.000797 BandWidth: 501.99 
Times: 0.000795 BandWidth: 503.34 
Times: 0.000793 BandWidth: 504.55 
Times: 0.000794 BandWidth: 503.79 
Times: 0.000793 BandWidth: 504.55 
Times: 0.000793 BandWidth: 504.40 
Times: 0.002351 BandWidth: 170.18 
Times: 0.000795 BandWidth: 503.19 
Times: 0.000793 BandWidth: 504.55 
Times: 0.000793 BandWidth: 504.55 
Times: 0.000790 BandWidth: 506.53 
Times: 0.000792 BandWidth: 505.16 
Times: 0.000792 BandWidth: 505.16 
Times: 0.000793 BandWidth: 504.55 
Times: 0.000796 BandWidth: 502.74 
Times: 0.000796 BandWidth: 502.74 
Times: 0.000795 BandWidth: 503.34 
Times: 0.000792 BandWidth: 505.16 
Times: 0.000792 BandWidth: 505.16 
Times: 0.000797 BandWidth: 502.14 
Times: 0.000796 BandWidth: 502.74 
Times: 0.000797 BandWidth: 501.99 
Times: 0.000796 BandWidth: 502.59 
Times: 0.000793 BandWidth: 504.55 
Times: 0.000791 BandWidth: 505.92 
Times: 0.000792 BandWidth: 505.16 
Times: 0.000794 BandWidth: 503.95 
Times: 0.000790 BandWidth: 506.53 
Times: 0.000795 BandWidth: 503.19 
Times: 0.000792 BandWidth: 505.16 
Times: 0.000793 BandWidth: 504.55 
Times: 0.000794 BandWidth: 503.95 
Times: 0.000793 BandWidth: 504.55 
Times: 0.000795 BandWidth: 503.34 
Times: 0.000795 BandWidth: 503.19 
Times: 0.000791 BandWidth: 505.77 
Times: 0.000791 BandWidth: 505.77 
Times: 0.000791 BandWidth: 505.77 
Times: 0.000792 BandWidth: 505.16 
Times: 0.000794 BandWidth: 503.95 
Times: 0.000795 BandWidth: 503.19 
Times: 0.000791 BandWidth: 505.77 
Times: 0.000793 BandWidth: 504.55 
Times: 0.000797 BandWidth: 501.99 
Times: 0.000797 BandWidth: 501.99 
Times: 0.000793 BandWidth: 504.40 
Times: 0.000791 BandWidth: 505.92 
Times: 0.000797 BandWidth: 501.99 
Times: 0.000797 BandWidth: 502.14 
Times: 0.000798 BandWidth: 501.39 
Times: 0.000793 BandWidth: 504.55 
Times: 0.000794 BandWidth: 503.95 
Times: 0.000792 BandWidth: 505.16 
Times: 0.000796 BandWidth: 502.74 
Times: 0.000797 BandWidth: 501.99 
Times: 0.000795 BandWidth: 503.34 
Times: 0.000792 BandWidth: 505.16 
Times: 0.000796 BandWidth: 502.59 
Times: 0.000794 BandWidth: 503.95 
Times: 0.000794 BandWidth: 503.95 
Times: 0.000794 BandWidth: 503.95 
Times: 0.000792 BandWidth: 505.16 
Times: 0.000794 BandWidth: 503.95 
Times: 0.000792 BandWidth: 505.16 
Times: 0.000796 BandWidth: 502.74 
Times: 0.000804 BandWidth: 497.67 
Times: 0.000795 BandWidth: 503.19 
Times: 0.000794 BandWidth: 503.79 
Times: 0.000796 BandWidth: 502.59 
Times: 0.000792 BandWidth: 505.16 
Times: 0.000791 BandWidth: 505.77 
Times: 0.000791 BandWidth: 505.77 
Times: 0.000794 BandWidth: 503.79 
