--------------------------------------------------------------------------
WARNING: There was an error initializing an OpenFabrics device.

  Local host:   rl-dgxa-c24-u34
  Local device: mlx5_0
--------------------------------------------------------------------------
[rl-dgxa-c24-u34:122553] mca_base_component_repository_open: unable to open mca_pml_ucx: libucp.so.0: cannot open shared object file: No such file or directory (ignored)
[rl-dgxa-c24-u34:122553] mca_base_component_repository_open: unable to open mca_osc_ucx: libucp.so.0: cannot open shared object file: No such file or directory (ignored)
[rl-dgxa-c24-u34:122552] mca_base_component_repository_open: unable to open mca_pml_ucx: libucp.so.0: cannot open shared object file: No such file or directory (ignored)
[rl-dgxa-c24-u34:122552] mca_base_component_repository_open: unable to open mca_osc_ucx: libucp.so.0: cannot open shared object file: No such file or directory (ignored)
% MAGMA 2.5.4  compiled for CUDA capability >= 8.0, 32-bit magma_int_t, 64-bit pointer.
% CUDA runtime 11000, driver 11000. OpenMP threads 2. MKL 2021.0.1, MKL threads 1. 
% device 0: A100-SXM4-40GB, 1410.0 MHz clock, 40537.2 MiB memory, capability 8.0
% device 1: A100-SXM4-40GB, 1410.0 MHz clock, 40537.2 MiB memory, capability 8.0
% Sun Mar 21 20:21:28 2021
world size (GPU number) is 2
Aurow 5000 Aucol 2500 Avrow 1250 Avcol 10000 nt 50 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
Aurow 5000 Aucol 2500 Avrow 1250 Avcol 10000 nt 50 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
nruns is 2000 
nruns is 2000 
Times: 0.003793 BandWidth: 105.48 
Times: 0.000499 BandWidth: 801.79 
Times: 0.000496 BandWidth: 806.80 
Times: 0.000496 BandWidth: 806.80 
Times: 0.000495 BandWidth: 808.35 
Times: 0.000495 BandWidth: 808.35 
Times: 0.000495 BandWidth: 807.96 
Times: 0.000496 BandWidth: 806.80 
Times: 0.000495 BandWidth: 808.35 
Times: 0.000492 BandWidth: 813.05 
Times: 0.000495 BandWidth: 807.96 
Times: 0.000493 BandWidth: 811.48 
Times: 0.000502 BandWidth: 797.22 
Times: 0.000494 BandWidth: 809.91 
Times: 0.000495 BandWidth: 808.35 
Times: 0.000498 BandWidth: 803.32 
Times: 0.000494 BandWidth: 809.91 
Times: 0.000496 BandWidth: 806.80 
Times: 0.000494 BandWidth: 809.91 
Times: 0.000494 BandWidth: 809.91 
Times: 0.000495 BandWidth: 807.96 
Times: 0.000501 BandWidth: 798.73 
Times: 0.000496 BandWidth: 806.41 
Times: 0.000498 BandWidth: 803.32 
Times: 0.000500 BandWidth: 800.26 
Times: 0.000496 BandWidth: 806.80 
Times: 0.000499 BandWidth: 801.79 
Times: 0.000495 BandWidth: 807.96 
Times: 0.000497 BandWidth: 804.86 
Times: 0.000496 BandWidth: 806.41 
Times: 0.000497 BandWidth: 804.86 
Times: 0.000497 BandWidth: 804.86 
Times: 0.000496 BandWidth: 806.80 
Times: 0.000496 BandWidth: 806.80 
Times: 0.000496 BandWidth: 806.41 
Times: 0.000496 BandWidth: 806.80 
Times: 0.000496 BandWidth: 806.41 
Times: 0.000498 BandWidth: 803.32 
Times: 0.000499 BandWidth: 801.79 
Times: 0.000497 BandWidth: 805.25 
Times: 0.000496 BandWidth: 806.41 
Times: 0.000495 BandWidth: 807.96 
Times: 0.000497 BandWidth: 804.86 
Times: 0.000495 BandWidth: 808.35 
Times: 0.000497 BandWidth: 804.86 
Times: 0.000500 BandWidth: 800.26 
Times: 0.000497 BandWidth: 805.25 
Times: 0.000500 BandWidth: 800.26 
Times: 0.000499 BandWidth: 801.79 
Times: 0.000497 BandWidth: 804.86 
Times: 0.000499 BandWidth: 802.17 
Times: 0.000497 BandWidth: 805.25 
Times: 0.000496 BandWidth: 806.80 
Times: 0.000496 BandWidth: 806.41 
Times: 0.000496 BandWidth: 806.80 
Times: 0.000503 BandWidth: 795.70 
Times: 0.000496 BandWidth: 806.80 
Times: 0.000497 BandWidth: 804.86 
Times: 0.000496 BandWidth: 806.80 
Times: 0.000495 BandWidth: 808.35 
Times: 0.000500 BandWidth: 800.26 
Times: 0.000496 BandWidth: 806.41 
Times: 0.000497 BandWidth: 804.86 
Times: 0.000496 BandWidth: 806.80 
Times: 0.000494 BandWidth: 809.91 
Times: 0.000496 BandWidth: 806.80 
Times: 0.000499 BandWidth: 801.79 
Times: 0.000498 BandWidth: 803.32 
Times: 0.000497 BandWidth: 804.86 
Times: 0.000499 BandWidth: 801.79 
Times: 0.000499 BandWidth: 801.79 
Times: 0.000497 BandWidth: 804.86 
Times: 0.000497 BandWidth: 805.25 
Times: 0.000498 BandWidth: 803.32 
Times: 0.000496 BandWidth: 806.80 
Times: 0.000496 BandWidth: 806.80 
Times: 0.000496 BandWidth: 806.80 
Times: 0.000498 BandWidth: 803.32 
Times: 0.000497 BandWidth: 804.86 
Times: 0.000499 BandWidth: 801.79 
Times: 0.000497 BandWidth: 804.86 
Times: 0.000498 BandWidth: 803.32 
Times: 0.000499 BandWidth: 801.79 
Times: 0.000498 BandWidth: 803.71 
Times: 0.000495 BandWidth: 808.35 
Times: 0.000497 BandWidth: 804.86 
Times: 0.000498 BandWidth: 803.71 
Times: 0.000496 BandWidth: 806.41 
Times: 0.000498 BandWidth: 803.71 
Times: 0.000499 BandWidth: 801.79 
Times: 0.000499 BandWidth: 801.79 
Times: 0.000499 BandWidth: 801.79 
Times: 0.000496 BandWidth: 806.80 
Times: 0.000495 BandWidth: 808.35 
Times: 0.000499 BandWidth: 801.79 
Times: 0.001723 BandWidth: 232.20 
Times: 0.000496 BandWidth: 806.41 
Times: 0.000497 BandWidth: 805.25 
Times: 0.000496 BandWidth: 806.41 
Times: 0.000498 BandWidth: 803.71 
Times: 0.000500 BandWidth: 800.26 
Times: 0.000499 BandWidth: 801.79 
Times: 0.000499 BandWidth: 801.79 
Times: 0.000500 BandWidth: 799.88 
Times: 0.000497 BandWidth: 804.86 
Times: 0.000497 BandWidth: 805.25 
Times: 0.000496 BandWidth: 806.80 
Times: 0.000498 BandWidth: 803.32 
Times: 0.000498 BandWidth: 803.32 
Times: 0.000500 BandWidth: 800.26 
Times: 0.000496 BandWidth: 806.80 
Times: 0.000497 BandWidth: 804.86 
Times: 0.000495 BandWidth: 808.35 
Times: 0.000497 BandWidth: 805.25 
Times: 0.000497 BandWidth: 805.25 
Times: 0.000501 BandWidth: 798.73 
Times: 0.000498 BandWidth: 803.32 
Times: 0.000498 BandWidth: 803.71 
Times: 0.000496 BandWidth: 806.41 
Times: 0.000497 BandWidth: 805.25 
Times: 0.000498 BandWidth: 803.32 
Times: 0.000497 BandWidth: 804.86 
Times: 0.000500 BandWidth: 800.26 
Times: 0.000497 BandWidth: 805.25 
Times: 0.000498 BandWidth: 803.32 
Times: 0.000498 BandWidth: 803.32 
Times: 0.000497 BandWidth: 804.86 
Times: 0.000496 BandWidth: 806.80 
Times: 0.000498 BandWidth: 803.32 
Times: 0.000495 BandWidth: 808.35 
Times: 0.000498 BandWidth: 803.32 
Times: 0.000501 BandWidth: 798.73 
Times: 0.000495 BandWidth: 808.35 
Times: 0.000495 BandWidth: 808.35 
Times: 0.000498 BandWidth: 803.32 
Times: 0.000496 BandWidth: 806.80 
Times: 0.000496 BandWidth: 806.80 
Times: 0.000498 BandWidth: 803.32 
Times: 0.000496 BandWidth: 806.80 
Times: 0.000499 BandWidth: 801.79 
Times: 0.000498 BandWidth: 803.32 
Times: 0.000495 BandWidth: 808.35 
Times: 0.000494 BandWidth: 809.91 
Times: 0.000496 BandWidth: 806.80 
Times: 0.000497 BandWidth: 804.86 
Times: 0.000499 BandWidth: 801.79 
Times: 0.000497 BandWidth: 805.25 
Times: 0.000496 BandWidth: 806.80 
Times: 0.000498 BandWidth: 803.32 
Times: 0.000498 BandWidth: 803.32 
Times: 0.000497 BandWidth: 805.25 
