--------------------------------------------------------------------------
WARNING: There was an error initializing an OpenFabrics device.

  Local host:   rl-dgxa-c24-u34
  Local device: mlx5_0
--------------------------------------------------------------------------
[rl-dgxa-c24-u34:122487] mca_base_component_repository_open: unable to open mca_pml_ucx: libucp.so.0: cannot open shared object file: No such file or directory (ignored)
[rl-dgxa-c24-u34:122487] mca_base_component_repository_open: unable to open mca_osc_ucx: libucp.so.0: cannot open shared object file: No such file or directory (ignored)
[rl-dgxa-c24-u34:122486] mca_base_component_repository_open: unable to open mca_pml_ucx: libucp.so.0: cannot open shared object file: No such file or directory (ignored)
[rl-dgxa-c24-u34:122486] mca_base_component_repository_open: unable to open mca_osc_ucx: libucp.so.0: cannot open shared object file: No such file or directory (ignored)
[rl-dgxa-c24-u34:122488] mca_base_component_repository_open: unable to open mca_pml_ucx: libucp.so.0: cannot open shared object file: No such file or directory (ignored)
[rl-dgxa-c24-u34:122485] mca_base_component_repository_open: unable to open mca_pml_ucx: libucp.so.0: cannot open shared object file: No such file or directory (ignored)
[rl-dgxa-c24-u34:122485] mca_base_component_repository_open: unable to open mca_osc_ucx: libucp.so.0: cannot open shared object file: No such file or directory (ignored)
[rl-dgxa-c24-u34:122488] mca_base_component_repository_open: unable to open mca_osc_ucx: libucp.so.0: cannot open shared object file: No such file or directory (ignored)
% MAGMA 2.5.4  compiled for CUDA capability >= 8.0, 32-bit magma_int_t, 64-bit pointer.
% CUDA runtime 11000, driver 11000. OpenMP threads 8. MKL 2021.0.1, MKL threads 1. 
% device 0: A100-SXM4-40GB, 1410.0 MHz clock, 40537.2 MiB memory, capability 8.0
% device 1: A100-SXM4-40GB, 1410.0 MHz clock, 40537.2 MiB memory, capability 8.0
% device 2: A100-SXM4-40GB, 1410.0 MHz clock, 40537.2 MiB memory, capability 8.0
% device 3: A100-SXM4-40GB, 1410.0 MHz clock, 40537.2 MiB memory, capability 8.0
% Sun Mar 21 20:21:25 2021
world size (GPU number) is 4
[rl-dgxa-c24-u34:122481] 3 more processes have sent help message help-mpi-btl-openib.txt / error in device init
[rl-dgxa-c24-u34:122481] Set MCA parameter "orte_base_help_aggregate" to 0 to see all help / error messages
Aurow 5000 Aucol 1250 Avrow 1250 Avcol 5000 nt 25 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
nruns is 2000 
Aurow 5000 Aucol 1250 Avrow 1250 Avcol 5000 nt 25 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
Aurow 5000 Aucol 1250 Avrow 1250 Avcol 5000 nt 25 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
Aurow 5000 Aucol 1250 Avrow 1250 Avcol 5000 nt 25 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
nruns is 2000 
nruns is 2000 
nruns is 2000 
Times: 0.000353 BandWidth: 1133.11 
Times: 0.000318 BandWidth: 1257.98 
Times: 0.000310 BandWidth: 1289.89 
Times: 0.000287 BandWidth: 1393.80 
Times: 0.000286 BandWidth: 1398.45 
Times: 0.000288 BandWidth: 1389.19 
Times: 0.000287 BandWidth: 1393.80 
Times: 0.000288 BandWidth: 1389.19 
Times: 0.000285 BandWidth: 1403.13 
Times: 0.000287 BandWidth: 1393.80 
Times: 0.000286 BandWidth: 1399.62 
Times: 0.000285 BandWidth: 1403.13 
Times: 0.000285 BandWidth: 1403.13 
Times: 0.000287 BandWidth: 1393.80 
Times: 0.000285 BandWidth: 1404.30 
Times: 0.000286 BandWidth: 1399.62 
Times: 0.000286 BandWidth: 1398.45 
Times: 0.000287 BandWidth: 1393.80 
Times: 0.000287 BandWidth: 1393.80 
Times: 0.000286 BandWidth: 1399.62 
Times: 0.000287 BandWidth: 1393.80 
Times: 0.000285 BandWidth: 1403.13 
Times: 0.000285 BandWidth: 1404.30 
Times: 0.000286 BandWidth: 1398.45 
Times: 0.000288 BandWidth: 1389.19 
Times: 0.000286 BandWidth: 1398.45 
Times: 0.000285 BandWidth: 1403.13 
Times: 0.000284 BandWidth: 1409.02 
Times: 0.000287 BandWidth: 1393.80 
Times: 0.000287 BandWidth: 1393.80 
Times: 0.000287 BandWidth: 1393.80 
Times: 0.000285 BandWidth: 1404.30 
Times: 0.000287 BandWidth: 1393.80 
Times: 0.000288 BandWidth: 1389.19 
Times: 0.000288 BandWidth: 1389.19 
Times: 0.000285 BandWidth: 1404.30 
Times: 0.000290 BandWidth: 1378.92 
Times: 0.000286 BandWidth: 1398.45 
Times: 0.000286 BandWidth: 1399.62 
Times: 0.000286 BandWidth: 1398.45 
Times: 0.000286 BandWidth: 1399.62 
Times: 0.000286 BandWidth: 1398.45 
Times: 0.000288 BandWidth: 1389.19 
Times: 0.000287 BandWidth: 1393.80 
Times: 0.000286 BandWidth: 1398.45 
Times: 0.000286 BandWidth: 1399.62 
Times: 0.000287 BandWidth: 1393.80 
Times: 0.000285 BandWidth: 1404.30 
Times: 0.002235 BandWidth: 179.00 
Times: 0.000291 BandWidth: 1374.40 
Times: 0.000285 BandWidth: 1403.13 
Times: 0.000286 BandWidth: 1399.62 
Times: 0.000288 BandWidth: 1389.19 
Times: 0.000287 BandWidth: 1393.80 
Times: 0.000285 BandWidth: 1404.30 
Times: 0.000287 BandWidth: 1393.80 
Times: 0.000286 BandWidth: 1398.45 
Times: 0.000286 BandWidth: 1399.62 
Times: 0.000286 BandWidth: 1399.62 
Times: 0.000285 BandWidth: 1404.30 
Times: 0.000287 BandWidth: 1393.80 
Times: 0.000286 BandWidth: 1399.62 
Times: 0.000285 BandWidth: 1403.13 
Times: 0.000287 BandWidth: 1394.96 
Times: 0.000286 BandWidth: 1398.45 
Times: 0.000286 BandWidth: 1399.62 
Times: 0.000287 BandWidth: 1393.80 
Times: 0.000286 BandWidth: 1399.62 
Times: 0.000286 BandWidth: 1399.62 
Times: 0.000287 BandWidth: 1393.80 
Times: 0.000286 BandWidth: 1399.62 
Times: 0.000288 BandWidth: 1389.19 
Times: 0.000286 BandWidth: 1398.45 
Times: 0.000287 BandWidth: 1393.80 
Times: 0.000287 BandWidth: 1393.80 
Times: 0.000286 BandWidth: 1399.62 
Times: 0.000286 BandWidth: 1398.45 
Times: 0.000288 BandWidth: 1389.19 
Times: 0.000286 BandWidth: 1398.45 
Times: 0.000288 BandWidth: 1389.19 
Times: 0.000286 BandWidth: 1399.62 
Times: 0.000288 BandWidth: 1389.19 
Times: 0.000286 BandWidth: 1398.45 
Times: 0.000287 BandWidth: 1393.80 
Times: 0.000287 BandWidth: 1394.96 
Times: 0.000287 BandWidth: 1393.80 
Times: 0.000285 BandWidth: 1404.30 
Times: 0.000287 BandWidth: 1394.96 
Times: 0.000286 BandWidth: 1398.45 
Times: 0.000285 BandWidth: 1404.30 
Times: 0.000287 BandWidth: 1393.80 
Times: 0.000286 BandWidth: 1398.45 
Times: 0.000289 BandWidth: 1384.60 
Times: 0.000293 BandWidth: 1365.45 
Times: 0.000285 BandWidth: 1403.13 
Times: 0.000285 BandWidth: 1404.30 
Times: 0.000285 BandWidth: 1403.13 
Times: 0.000285 BandWidth: 1404.30 
Times: 0.000287 BandWidth: 1394.96 
Times: 0.000285 BandWidth: 1404.30 
Times: 0.000285 BandWidth: 1404.30 
Times: 0.000284 BandWidth: 1409.02 
Times: 0.000284 BandWidth: 1409.02 
Times: 0.000285 BandWidth: 1404.30 
Times: 0.000286 BandWidth: 1399.62 
Times: 0.000283 BandWidth: 1413.77 
Times: 0.000284 BandWidth: 1407.84 
Times: 0.000284 BandWidth: 1409.02 
Times: 0.000284 BandWidth: 1409.02 
