--------------------------------------------------------------------------
By default, for Open MPI 4.0 and later, infiniband ports on a device
are not used by default.  The intent is to use UCX for these devices.
You can override this policy by setting the btl_openib_allow_ib MCA parameter
to true.

  Local host:              nirvana
  Local adapter:           mlx5_2
  Local port:              1

--------------------------------------------------------------------------
--------------------------------------------------------------------------
WARNING: There was an error initializing an OpenFabrics device.

  Local host:   nirvana
  Local device: mlx5_2
--------------------------------------------------------------------------
% MAGMA 2.5.4  compiled for CUDA capability >= 6.0, 32-bit magma_int_t, 64-bit pointer.
% CUDA runtime 11000, driver 11000. OpenMP threads 1. 
% device 0: Tesla P100-SXM2-16GB, 1480.5 MHz clock, 16280.9 MiB memory, capability 6.0
% device 1: Tesla P100-SXM2-16GB, 1480.5 MHz clock, 16280.9 MiB memory, capability 6.0
% device 2: Tesla P100-SXM2-16GB, 1480.5 MHz clock, 16280.9 MiB memory, capability 6.0
% device 3: Tesla P100-SXM2-16GB, 1480.5 MHz clock, 16280.9 MiB memory, capability 6.0
% Mon Mar 22 04:34:12 2021
world size (GPU number) is 2
Aurow 5000 Aucol 2500 Avrow 1250 Avcol 10000 nt 50 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
Aurow 5000 Aucol 2500 Avrow 1250 Avcol 10000 nt 50 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
nruns is 2000 
nruns is 2000 
Times: 0.000358 BandWidth: 1117.27 
Times: 0.000382 BandWidth: 1047.53 
Times: 0.000379 BandWidth: 1055.43 
Times: 0.000368 BandWidth: 1086.88 
Times: 0.000373 BandWidth: 1072.29 
Times: 0.000359 BandWidth: 1114.30 
Times: 0.000362 BandWidth: 1105.49 
Times: 0.000378 BandWidth: 1058.76 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000378 BandWidth: 1058.76 
Times: 0.000385 BandWidth: 1039.10 
Times: 0.000362 BandWidth: 1104.77 
Times: 0.000375 BandWidth: 1066.84 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000375 BandWidth: 1067.52 
Times: 0.000371 BandWidth: 1078.50 
Times: 0.000376 BandWidth: 1064.14 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000373 BandWidth: 1072.29 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000361 BandWidth: 1107.68 
Times: 0.000373 BandWidth: 1072.29 
Times: 0.000367 BandWidth: 1090.41 
Times: 0.000361 BandWidth: 1108.42 
Times: 0.000362 BandWidth: 1105.49 
Times: 0.000370 BandWidth: 1081.97 
Times: 0.000376 BandWidth: 1064.14 
Times: 0.000363 BandWidth: 1102.59 
Times: 0.000369 BandWidth: 1084.77 
Times: 0.000360 BandWidth: 1111.35 
Times: 0.000362 BandWidth: 1104.77 
