--------------------------------------------------------------------------
By default, for Open MPI 4.0 and later, infiniband ports on a device
are not used by default.  The intent is to use UCX for these devices.
You can override this policy by setting the btl_openib_allow_ib MCA parameter
to true.

  Local host:              samsara
  Local adapter:           mlx5_2
  Local port:              1

--------------------------------------------------------------------------
--------------------------------------------------------------------------
WARNING: There was an error initializing an OpenFabrics device.

  Local host:   samsara
  Local device: mlx5_2
--------------------------------------------------------------------------
% MAGMA 2.5.4  compiled for CUDA capability >= 7.0, 32-bit magma_int_t, 64-bit pointer.
% CUDA runtime 11000, driver 11020. OpenMP threads 1. 
% device 0: Tesla V100-SXM2-16GB, 1530.0 MHz clock, 16160.5 MiB memory, capability 7.0
% device 1: Tesla V100-SXM2-16GB, 1530.0 MHz clock, 16160.5 MiB memory, capability 7.0
% device 2: Tesla V100-SXM2-16GB, 1530.0 MHz clock, 16160.5 MiB memory, capability 7.0
% device 3: Tesla V100-SXM2-16GB, 1530.0 MHz clock, 16160.5 MiB memory, capability 7.0
% Mon Mar 22 04:36:32 2021
world size (GPU number) is 1
Aurow 5000 Aucol 5000 Avrow 1250 Avcol 20000 nt 100 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
nruns is 2000 
Times: 0.000742 BandWidth: 539.25 
Times: 0.000685 BandWidth: 584.11 
Times: 0.000675 BandWidth: 592.77 
Times: 0.000674 BandWidth: 593.61 
Times: 0.000673 BandWidth: 594.45 
Times: 0.000674 BandWidth: 593.61 
Times: 0.000673 BandWidth: 594.45 
Times: 0.000670 BandWidth: 597.20 
Times: 0.000668 BandWidth: 599.12 
Times: 0.000675 BandWidth: 592.77 
Times: 0.000670 BandWidth: 596.99 
Times: 0.000671 BandWidth: 596.35 
Times: 0.000670 BandWidth: 597.20 
Times: 0.000682 BandWidth: 586.76 
Times: 0.000681 BandWidth: 587.58 
Times: 0.000671 BandWidth: 596.35 
Times: 0.000672 BandWidth: 595.51 
Times: 0.000670 BandWidth: 597.20 
Times: 0.000674 BandWidth: 593.61 
Times: 0.000670 BandWidth: 597.20 
Times: 0.000671 BandWidth: 596.35 
Times: 0.000672 BandWidth: 595.51 
Times: 0.000676 BandWidth: 591.94 
Times: 0.000671 BandWidth: 596.35 
Times: 0.000673 BandWidth: 594.66 
Times: 0.000676 BandWidth: 591.94 
Times: 0.000671 BandWidth: 596.35 
Times: 0.000683 BandWidth: 585.94 
Times: 0.000671 BandWidth: 596.35 
Times: 0.000677 BandWidth: 590.89 
