--------------------------------------------------------------------------
WARNING: There was an error initializing an OpenFabrics device.

  Local host:   rl-dgxa-c24-u34
  Local device: mlx5_0
--------------------------------------------------------------------------
[rl-dgxa-c24-u34:122850] mca_base_component_repository_open: unable to open mca_pml_ucx: libucp.so.0: cannot open shared object file: No such file or directory (ignored)
[rl-dgxa-c24-u34:122850] mca_base_component_repository_open: unable to open mca_osc_ucx: libucp.so.0: cannot open shared object file: No such file or directory (ignored)
% MAGMA 2.5.4  compiled for CUDA capability >= 8.0, 32-bit magma_int_t, 64-bit pointer.
% CUDA runtime 11000, driver 11000. OpenMP threads 2. MKL 2021.0.1, MKL threads 1. 
% device 0: A100-SXM4-40GB, 1410.0 MHz clock, 40537.2 MiB memory, capability 8.0
% Sun Mar 21 20:21:40 2021
world size (GPU number) is 1
Aurow 5000 Aucol 5000 Avrow 1250 Avcol 20000 nt 100 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
nruns is 2000 
Times: 0.004290 BandWidth: 93.26 
Times: 0.001138 BandWidth: 351.59 
Times: 0.001133 BandWidth: 353.07 
Times: 0.001129 BandWidth: 354.41 
Times: 0.001131 BandWidth: 353.74 
Times: 0.001132 BandWidth: 353.44 
Times: 0.001131 BandWidth: 353.74 
Times: 0.001142 BandWidth: 350.34 
Times: 0.001129 BandWidth: 354.34 
Times: 0.001134 BandWidth: 352.77 
Times: 0.001139 BandWidth: 351.30 
Times: 0.001139 BandWidth: 351.30 
Times: 0.001138 BandWidth: 351.59 
Times: 0.001140 BandWidth: 351.00 
Times: 0.001138 BandWidth: 351.59 
Times: 0.001134 BandWidth: 352.77 
Times: 0.001134 BandWidth: 352.85 
Times: 0.001152 BandWidth: 347.30 
Times: 0.001136 BandWidth: 352.18 
Times: 0.001137 BandWidth: 351.89 
Times: 0.001136 BandWidth: 352.18 
Times: 0.001141 BandWidth: 350.71 
Times: 0.001143 BandWidth: 350.05 
Times: 0.001148 BandWidth: 348.52 
Times: 0.001147 BandWidth: 348.81 
Times: 0.001147 BandWidth: 348.81 
Times: 0.001146 BandWidth: 349.10 
Times: 0.001137 BandWidth: 351.89 
Times: 0.001140 BandWidth: 350.93 
Times: 0.001143 BandWidth: 350.05 
Times: 0.001137 BandWidth: 351.89 
Times: 0.001140 BandWidth: 350.93 
Times: 0.001134 BandWidth: 352.85 
Times: 0.001143 BandWidth: 350.05 
Times: 0.001138 BandWidth: 351.59 
Times: 0.001151 BandWidth: 347.59 
Times: 0.001146 BandWidth: 349.10 
Times: 0.001138 BandWidth: 351.59 
Times: 0.001141 BandWidth: 350.64 
Times: 0.001141 BandWidth: 350.64 
Times: 0.001156 BandWidth: 346.08 
Times: 0.001139 BandWidth: 351.30 
Times: 0.001138 BandWidth: 351.59 
Times: 0.001143 BandWidth: 350.05 
Times: 0.001135 BandWidth: 352.48 
Times: 0.001142 BandWidth: 350.42 
Times: 0.001153 BandWidth: 347.01 
Times: 0.001146 BandWidth: 349.10 
Times: 0.001149 BandWidth: 348.23 
Times: 0.001138 BandWidth: 351.59 
Times: 0.001145 BandWidth: 349.39 
Times: 0.001141 BandWidth: 350.71 
Times: 0.001145 BandWidth: 349.39 
Times: 0.001144 BandWidth: 349.76 
Times: 0.001156 BandWidth: 346.15 
Times: 0.001158 BandWidth: 345.51 
Times: 0.001141 BandWidth: 350.64 
Times: 0.001146 BandWidth: 349.10 
Times: 0.001142 BandWidth: 350.34 
Times: 0.001143 BandWidth: 350.05 
Times: 0.001142 BandWidth: 350.34 
Times: 0.001137 BandWidth: 351.89 
Times: 0.001144 BandWidth: 349.76 
Times: 0.001146 BandWidth: 349.10 
Times: 0.001153 BandWidth: 347.01 
Times: 0.001138 BandWidth: 351.59 
Times: 0.001140 BandWidth: 351.00 
Times: 0.001143 BandWidth: 350.05 
Times: 0.001148 BandWidth: 348.52 
Times: 0.001133 BandWidth: 353.14 
Times: 0.001140 BandWidth: 351.00 
Times: 0.001151 BandWidth: 347.59 
Times: 0.001133 BandWidth: 353.07 
Times: 0.001143 BandWidth: 350.05 
