--------------------------------------------------------------------------
WARNING: There was an error initializing an OpenFabrics device.

  Local host:   rl-dgxa-c24-u34
  Local device: mlx5_0
--------------------------------------------------------------------------
[rl-dgxa-c24-u34:122663] mca_base_component_repository_open: unable to open mca_pml_ucx: libucp.so.0: cannot open shared object file: No such file or directory (ignored)
[rl-dgxa-c24-u34:122663] mca_base_component_repository_open: unable to open mca_osc_ucx: libucp.so.0: cannot open shared object file: No such file or directory (ignored)
[rl-dgxa-c24-u34:122665] mca_base_component_repository_open: unable to open mca_pml_ucx: libucp.so.0: cannot open shared object file: No such file or directory (ignored)
[rl-dgxa-c24-u34:122665] mca_base_component_repository_open: unable to open mca_osc_ucx: libucp.so.0: cannot open shared object file: No such file or directory (ignored)
[rl-dgxa-c24-u34:122664] mca_base_component_repository_open: unable to open mca_pml_ucx: libucp.so.0: cannot open shared object file: No such file or directory (ignored)
[rl-dgxa-c24-u34:122664] mca_base_component_repository_open: unable to open mca_osc_ucx: libucp.so.0: cannot open shared object file: No such file or directory (ignored)
[rl-dgxa-c24-u34:122666] mca_base_component_repository_open: unable to open mca_pml_ucx: libucp.so.0: cannot open shared object file: No such file or directory (ignored)
[rl-dgxa-c24-u34:122666] mca_base_component_repository_open: unable to open mca_osc_ucx: libucp.so.0: cannot open shared object file: No such file or directory (ignored)
% MAGMA 2.5.4  compiled for CUDA capability >= 8.0, 32-bit magma_int_t, 64-bit pointer.
% CUDA runtime 11000, driver 11000. OpenMP threads 8. MKL 2021.0.1, MKL threads 1. 
% device 0: A100-SXM4-40GB, 1410.0 MHz clock, 40537.2 MiB memory, capability 8.0
% device 1: A100-SXM4-40GB, 1410.0 MHz clock, 40537.2 MiB memory, capability 8.0
% device 2: A100-SXM4-40GB, 1410.0 MHz clock, 40537.2 MiB memory, capability 8.0
% device 3: A100-SXM4-40GB, 1410.0 MHz clock, 40537.2 MiB memory, capability 8.0
% Sun Mar 21 20:21:33 2021
world size (GPU number) is 4
Aurow 5000 Aucol 1250 Avrow 1250 Avcol 5000 nt 25 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
nruns is 2000 
Aurow 5000 Aucol 1250 Avrow 1250 Avcol 5000 nt 25 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
Aurow 5000 Aucol 1250 Avrow 1250 Avcol 5000 nt 25 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
Aurow 5000 Aucol 1250 Avrow 1250 Avcol 5000 nt 25 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
nruns is 2000 
nruns is 2000 
nruns is 2000 
Times: 0.000756 BandWidth: 529.22 
Times: 0.000560 BandWidth: 714.41 
Times: 0.000556 BandWidth: 719.61 
Times: 0.000555 BandWidth: 720.85 
Times: 0.000558 BandWidth: 717.15 
Times: 0.000558 BandWidth: 716.85 
Times: 0.000564 BandWidth: 709.57 
Times: 0.000554 BandWidth: 722.09 
Times: 0.000557 BandWidth: 718.38 
Times: 0.000570 BandWidth: 701.86 
Times: 0.000556 BandWidth: 719.61 
Times: 0.000555 BandWidth: 720.85 
Times: 0.000555 BandWidth: 720.85 
Times: 0.000559 BandWidth: 715.63 
Times: 0.000557 BandWidth: 718.38 
Times: 0.000556 BandWidth: 719.61 
Times: 0.000560 BandWidth: 714.41 
Times: 0.000556 BandWidth: 719.61 
Times: 0.000555 BandWidth: 720.85 
Times: 0.000554 BandWidth: 722.40 
Times: 0.000527 BandWidth: 759.34 
Times: 0.000524 BandWidth: 763.83 
Times: 0.000524 BandWidth: 763.49 
Times: 0.000527 BandWidth: 759.34 
Times: 0.000522 BandWidth: 766.27 
Times: 0.000529 BandWidth: 756.26 
Times: 0.000526 BandWidth: 760.72 
Times: 0.000524 BandWidth: 763.49 
Times: 0.000521 BandWidth: 768.03 
Times: 0.000522 BandWidth: 766.62 
Times: 0.000521 BandWidth: 768.03 
Times: 0.000523 BandWidth: 765.23 
Times: 0.000524 BandWidth: 763.49 
Times: 0.000526 BandWidth: 760.37 
Times: 0.000530 BandWidth: 754.90 
Times: 0.000526 BandWidth: 760.72 
Times: 0.000526 BandWidth: 760.37 
Times: 0.000524 BandWidth: 763.49 
Times: 0.000527 BandWidth: 759.34 
Times: 0.000529 BandWidth: 756.26 
Times: 0.000522 BandWidth: 766.62 
Times: 0.000528 BandWidth: 757.97 
Times: 0.000523 BandWidth: 764.88 
Times: 0.000523 BandWidth: 764.88 
Times: 0.000526 BandWidth: 760.37 
Times: 0.000523 BandWidth: 764.88 
Times: 0.000528 BandWidth: 757.97 
Times: 0.000526 BandWidth: 760.37 
Times: 0.000529 BandWidth: 756.26 
Times: 0.000532 BandWidth: 752.19 
Times: 0.000530 BandWidth: 754.90 
Times: 0.000528 BandWidth: 757.97 
Times: 0.000525 BandWidth: 762.10 
Times: 0.000525 BandWidth: 762.10 
Times: 0.000525 BandWidth: 762.10 
Times: 0.000526 BandWidth: 760.72 
Times: 0.000528 BandWidth: 757.63 
Times: 0.000526 BandWidth: 760.72 
Times: 0.000528 BandWidth: 757.63 
Times: 0.000525 BandWidth: 762.10 
Times: 0.000528 BandWidth: 757.97 
Times: 0.000524 BandWidth: 763.49 
Times: 0.000530 BandWidth: 754.90 
Times: 0.000526 BandWidth: 760.72 
Times: 0.000525 BandWidth: 762.10 
Times: 0.000523 BandWidth: 764.88 
Times: 0.000527 BandWidth: 759.34 
Times: 0.000532 BandWidth: 751.86 
Times: 0.000524 BandWidth: 763.49 
Times: 0.000528 BandWidth: 757.63 
Times: 0.000527 BandWidth: 759.00 
Times: 0.000527 BandWidth: 759.00 
Times: 0.000526 BandWidth: 760.37 
Times: 0.000523 BandWidth: 765.23 
Times: 0.000530 BandWidth: 754.90 
Times: 0.000524 BandWidth: 763.49 
Times: 0.000526 BandWidth: 760.72 
Times: 0.000523 BandWidth: 765.23 
Times: 0.000527 BandWidth: 759.00 
Times: 0.000523 BandWidth: 764.88 
Times: 0.000525 BandWidth: 762.10 
Times: 0.000524 BandWidth: 763.83 
Times: 0.000527 BandWidth: 759.00 
Times: 0.000535 BandWidth: 747.83 
Times: 0.000525 BandWidth: 762.10 
Times: 0.000530 BandWidth: 754.90 
Times: 0.000532 BandWidth: 752.19 
Times: 0.000523 BandWidth: 764.88 
Times: 0.000534 BandWidth: 749.17 
Times: 0.000520 BandWidth: 769.44 
Times: 0.000525 BandWidth: 762.10 
Times: 0.000522 BandWidth: 766.27 
Times: 0.000527 BandWidth: 759.34 
Times: 0.000531 BandWidth: 753.21 
Times: 0.000526 BandWidth: 760.72 
Times: 0.000523 BandWidth: 765.23 
Times: 0.000523 BandWidth: 764.88 
Times: 0.000522 BandWidth: 766.27 
Times: 0.000726 BandWidth: 551.11 
Times: 0.000532 BandWidth: 752.19 
Times: 0.000529 BandWidth: 756.60 
Times: 0.000527 BandWidth: 759.34 
Times: 0.000534 BandWidth: 749.17 
Times: 0.000528 BandWidth: 757.63 
Times: 0.000530 BandWidth: 754.90 
Times: 0.000529 BandWidth: 756.26 
Times: 0.000528 BandWidth: 757.63 
Times: 0.000531 BandWidth: 753.54 
Times: 0.000529 BandWidth: 756.26 
Times: 0.000526 BandWidth: 760.37 
Times: 0.000528 BandWidth: 757.97 
Times: 0.000527 BandWidth: 759.00 
Times: 0.000533 BandWidth: 750.85 
Times: 0.000532 BandWidth: 751.86 
Times: 0.000531 BandWidth: 753.54 
Times: 0.000529 BandWidth: 756.26 
Times: 0.000529 BandWidth: 756.60 
