--------------------------------------------------------------------------
By default, for Open MPI 4.0 and later, infiniband ports on a device
are not used by default.  The intent is to use UCX for these devices.
You can override this policy by setting the btl_openib_allow_ib MCA parameter
to true.

  Local host:              nirvana
  Local adapter:           mlx5_2
  Local port:              1

--------------------------------------------------------------------------
--------------------------------------------------------------------------
WARNING: There was an error initializing an OpenFabrics device.

  Local host:   nirvana
  Local device: mlx5_2
--------------------------------------------------------------------------
% MAGMA 2.5.4  compiled for CUDA capability >= 6.0, 32-bit magma_int_t, 64-bit pointer.
% CUDA runtime 11000, driver 11000. OpenMP threads 1. 
% device 0: Tesla P100-SXM2-16GB, 1480.5 MHz clock, 16280.9 MiB memory, capability 6.0
% device 1: Tesla P100-SXM2-16GB, 1480.5 MHz clock, 16280.9 MiB memory, capability 6.0
% device 2: Tesla P100-SXM2-16GB, 1480.5 MHz clock, 16280.9 MiB memory, capability 6.0
% device 3: Tesla P100-SXM2-16GB, 1480.5 MHz clock, 16280.9 MiB memory, capability 6.0
% Mon Mar 22 04:33:51 2021
world size (GPU number) is 1
Aurow 5000 Aucol 5000 Avrow 1250 Avcol 20000 nt 100 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
nruns is 2000 
Times: 0.001092 BandWidth: 366.41 
Times: 0.001089 BandWidth: 367.37 
Times: 0.001125 BandWidth: 355.69 
Times: 0.001071 BandWidth: 373.58 
Times: 0.001080 BandWidth: 370.45 
Times: 0.001083 BandWidth: 369.47 
Times: 0.001086 BandWidth: 368.42 
Times: 0.001107 BandWidth: 361.43 
Times: 0.001070 BandWidth: 373.92 
Times: 0.001108 BandWidth: 361.05 
Times: 0.001114 BandWidth: 359.19 
Times: 0.001086 BandWidth: 368.42 
Times: 0.001146 BandWidth: 349.10 
Times: 0.001088 BandWidth: 367.69 
Times: 0.001088 BandWidth: 367.77 
Times: 0.001117 BandWidth: 358.12 
Times: 0.001087 BandWidth: 368.09 
Times: 0.001125 BandWidth: 355.69 
Times: 0.001088 BandWidth: 367.69 
Times: 0.001099 BandWidth: 364.02 
Times: 0.001094 BandWidth: 365.69 
Times: 0.001125 BandWidth: 355.61 
Times: 0.001599 BandWidth: 250.21 
Times: 0.001135 BandWidth: 352.48 
Times: 0.001082 BandWidth: 369.80 
Times: 0.001103 BandWidth: 362.76 
Times: 0.001099 BandWidth: 364.02 
Times: 0.001074 BandWidth: 372.51 
Times: 0.001073 BandWidth: 372.84 
Times: 0.001081 BandWidth: 370.12 
Times: 0.001081 BandWidth: 370.12 
Times: 0.001076 BandWidth: 371.85 
Times: 0.001099 BandWidth: 364.10 
Times: 0.001094 BandWidth: 365.69 
Times: 0.001077 BandWidth: 371.52 
Times: 0.001091 BandWidth: 366.73 
Times: 0.001126 BandWidth: 355.31 
Times: 0.001074 BandWidth: 372.51 
Times: 0.001072 BandWidth: 373.17 
Times: 0.001141 BandWidth: 350.64 
Times: 0.001110 BandWidth: 360.43 
Times: 0.001071 BandWidth: 373.58 
Times: 0.001092 BandWidth: 366.41 
