--------------------------------------------------------------------------
By default, for Open MPI 4.0 and later, infiniband ports on a device
are not used by default.  The intent is to use UCX for these devices.
You can override this policy by setting the btl_openib_allow_ib MCA parameter
to true.

  Local host:              nirvana
  Local adapter:           mlx5_2
  Local port:              1

--------------------------------------------------------------------------
--------------------------------------------------------------------------
WARNING: There was an error initializing an OpenFabrics device.

  Local host:   nirvana
  Local device: mlx5_2
--------------------------------------------------------------------------
% MAGMA 2.5.4  compiled for CUDA capability >= 6.0, 32-bit magma_int_t, 64-bit pointer.
% CUDA runtime 11000, driver 11000. OpenMP threads 20. 
% device 0: Tesla P100-SXM2-16GB, 1480.5 MHz clock, 16280.9 MiB memory, capability 6.0
% device 1: Tesla P100-SXM2-16GB, 1480.5 MHz clock, 16280.9 MiB memory, capability 6.0
% device 2: Tesla P100-SXM2-16GB, 1480.5 MHz clock, 16280.9 MiB memory, capability 6.0
% device 3: Tesla P100-SXM2-16GB, 1480.5 MHz clock, 16280.9 MiB memory, capability 6.0
% Mon Mar 22 04:34:32 2021
world size (GPU number) is 4
Aurow 5000 Aucol 1250 Avrow 1250 Avcol 5000 nt 25 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
Aurow 5000 Aucol 1250 Avrow 1250 Avcol 5000 nt 25 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
Aurow 5000 Aucol 1250 Avrow 1250 Avcol 5000 nt 25 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
Aurow 5000 Aucol 1250 Avrow 1250 Avcol 5000 nt 25 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
nruns is 2000 
nruns is 2000 
nruns is 2000 
nruns is 2000 
Times: 0.000432 BandWidth: 926.13 
Times: 0.000496 BandWidth: 806.41 
Times: 0.000468 BandWidth: 854.89 
Times: 0.000536 BandWidth: 746.50 
Times: 0.000468 BandWidth: 854.89 
Times: 0.000468 BandWidth: 854.89 
Times: 0.000493 BandWidth: 811.48 
Times: 0.000499 BandWidth: 801.79 
Times: 0.000505 BandWidth: 792.32 
Times: 0.000515 BandWidth: 776.92 
Times: 0.000491 BandWidth: 814.63 
Times: 0.000498 BandWidth: 803.71 
Times: 0.000478 BandWidth: 836.98 
Times: 0.000514 BandWidth: 778.36 
Times: 0.000468 BandWidth: 854.89 
Times: 0.000514 BandWidth: 778.36 
Times: 0.000491 BandWidth: 814.63 
Times: 0.000514 BandWidth: 778.36 
Times: 0.001157 BandWidth: 345.79 
Times: 0.000512 BandWidth: 781.26 
Times: 0.000499 BandWidth: 801.79 
Times: 0.000468 BandWidth: 854.89 
Times: 0.000501 BandWidth: 798.35 
Times: 0.000510 BandWidth: 784.54 
Times: 0.000475 BandWidth: 842.02 
Times: 0.000481 BandWidth: 831.59 
Times: 0.000540 BandWidth: 740.90 
Times: 0.000561 BandWidth: 713.19 
Times: 0.000451 BandWidth: 886.97 
Times: 0.001401 BandWidth: 285.54 
Times: 0.000479 BandWidth: 835.31 
Times: 0.000456 BandWidth: 877.23 
Times: 0.000480 BandWidth: 833.65 
Times: 0.000454 BandWidth: 881.38 
Times: 0.000459 BandWidth: 871.76 
Times: 0.000500 BandWidth: 800.26 
Times: 0.000488 BandWidth: 819.81 
Times: 0.000486 BandWidth: 823.43 
Times: 0.000503 BandWidth: 795.70 
Times: 0.000480 BandWidth: 833.24 
Times: 0.000495 BandWidth: 807.96 
Times: 0.000471 BandWidth: 849.26 
Times: 0.000444 BandWidth: 900.77 
Times: 0.000505 BandWidth: 791.95 
Times: 0.000472 BandWidth: 847.55 
Times: 0.000502 BandWidth: 797.22 
Times: 0.000503 BandWidth: 795.33 
Times: 0.000473 BandWidth: 846.26 
Times: 0.000461 BandWidth: 867.70 
Times: 0.000492 BandWidth: 813.05 
Times: 0.000485 BandWidth: 825.04 
Times: 0.000493 BandWidth: 811.48 
Times: 0.000509 BandWidth: 786.01 
Times: 0.000475 BandWidth: 842.02 
Times: 0.000503 BandWidth: 795.33 
Times: 0.000493 BandWidth: 811.87 
Times: 0.000447 BandWidth: 895.01 
Times: 0.000456 BandWidth: 877.69 
Times: 0.000475 BandWidth: 842.02 
Times: 0.000449 BandWidth: 890.73 
Times: 0.000494 BandWidth: 809.91 
Times: 0.000483 BandWidth: 828.30 
Times: 0.000465 BandWidth: 860.14 
Times: 0.000468 BandWidth: 854.89 
Times: 0.000486 BandWidth: 823.02 
Times: 0.001089 BandWidth: 367.37 
Times: 0.000550 BandWidth: 727.41 
