--------------------------------------------------------------------------
WARNING: There was an error initializing an OpenFabrics device.

  Local host:   rl-dgxa-c24-u34
  Local device: mlx5_0
--------------------------------------------------------------------------
[rl-dgxa-c24-u34:122813] mca_base_component_repository_open: unable to open mca_pml_ucx: libucp.so.0: cannot open shared object file: No such file or directory (ignored)
[rl-dgxa-c24-u34:122813] mca_base_component_repository_open: unable to open mca_osc_ucx: libucp.so.0: cannot open shared object file: No such file or directory (ignored)
[rl-dgxa-c24-u34:122812] mca_base_component_repository_open: unable to open mca_pml_ucx: libucp.so.0: cannot open shared object file: No such file or directory (ignored)
[rl-dgxa-c24-u34:122812] mca_base_component_repository_open: unable to open mca_osc_ucx: libucp.so.0: cannot open shared object file: No such file or directory (ignored)
% MAGMA 2.5.4  compiled for CUDA capability >= 8.0, 32-bit magma_int_t, 64-bit pointer.
% CUDA runtime 11000, driver 11000. OpenMP threads 2. MKL 2021.0.1, MKL threads 1. 
% device 0: A100-SXM4-40GB, 1410.0 MHz clock, 40537.2 MiB memory, capability 8.0
% device 1: A100-SXM4-40GB, 1410.0 MHz clock, 40537.2 MiB memory, capability 8.0
% Sun Mar 21 20:21:38 2021
world size (GPU number) is 2
Aurow 5000 Aucol 2500 Avrow 1250 Avcol 10000 nt 50 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
Aurow 5000 Aucol 2500 Avrow 1250 Avcol 10000 nt 50 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
nruns is 2000 
nruns is 2000 
Times: 0.000514 BandWidth: 778.36 
Times: 0.000450 BandWidth: 889.32 
Times: 0.000450 BandWidth: 888.85 
Times: 0.000451 BandWidth: 887.44 
Times: 0.000450 BandWidth: 888.85 
Times: 0.000450 BandWidth: 889.32 
Times: 0.000453 BandWidth: 883.23 
Times: 0.000449 BandWidth: 891.21 
Times: 0.000449 BandWidth: 891.21 
Times: 0.000450 BandWidth: 889.32 
Times: 0.000449 BandWidth: 890.73 
Times: 0.000449 BandWidth: 890.73 
Times: 0.000449 BandWidth: 890.73 
Times: 0.000450 BandWidth: 888.85 
Times: 0.000452 BandWidth: 885.10 
Times: 0.000449 BandWidth: 891.21 
Times: 0.000454 BandWidth: 880.91 
Times: 0.000449 BandWidth: 890.73 
Times: 0.000450 BandWidth: 888.85 
Times: 0.000451 BandWidth: 886.97 
Times: 0.000452 BandWidth: 885.10 
Times: 0.000451 BandWidth: 886.97 
Times: 0.000450 BandWidth: 889.32 
Times: 0.000448 BandWidth: 893.10 
Times: 0.000450 BandWidth: 889.32 
Times: 0.000449 BandWidth: 891.21 
Times: 0.000451 BandWidth: 886.97 
Times: 0.000448 BandWidth: 893.10 
Times: 0.000449 BandWidth: 891.21 
Times: 0.000447 BandWidth: 895.01 
Times: 0.000450 BandWidth: 888.85 
Times: 0.000448 BandWidth: 892.63 
Times: 0.000451 BandWidth: 886.97 
Times: 0.000452 BandWidth: 885.10 
Times: 0.000451 BandWidth: 887.44 
Times: 0.000449 BandWidth: 890.73 
Times: 0.000452 BandWidth: 885.56 
Times: 0.000449 BandWidth: 891.21 
Times: 0.000451 BandWidth: 886.97 
Times: 0.000452 BandWidth: 885.10 
Times: 0.000452 BandWidth: 885.56 
Times: 0.000454 BandWidth: 881.38 
Times: 0.000449 BandWidth: 890.73 
Times: 0.000448 BandWidth: 893.10 
Times: 0.000451 BandWidth: 887.44 
Times: 0.000451 BandWidth: 886.97 
Times: 0.000450 BandWidth: 889.32 
Times: 0.000453 BandWidth: 883.23 
Times: 0.000450 BandWidth: 889.32 
Times: 0.000450 BandWidth: 889.32 
Times: 0.000450 BandWidth: 888.85 
Times: 0.000454 BandWidth: 881.38 
Times: 0.000449 BandWidth: 891.21 
Times: 0.000450 BandWidth: 888.85 
Times: 0.000449 BandWidth: 891.21 
Times: 0.000451 BandWidth: 887.44 
Times: 0.000451 BandWidth: 886.97 
Times: 0.000452 BandWidth: 885.10 
Times: 0.000450 BandWidth: 888.85 
Times: 0.000452 BandWidth: 885.10 
Times: 0.000451 BandWidth: 886.97 
Times: 0.000451 BandWidth: 887.44 
Times: 0.000450 BandWidth: 888.85 
Times: 0.000452 BandWidth: 885.56 
Times: 0.000451 BandWidth: 886.97 
Times: 0.000452 BandWidth: 885.56 
Times: 0.000452 BandWidth: 885.10 
Times: 0.000450 BandWidth: 889.32 
Times: 0.000452 BandWidth: 885.10 
Times: 0.000457 BandWidth: 875.40 
Times: 0.000453 BandWidth: 883.23 
Times: 0.000451 BandWidth: 887.44 
Times: 0.000450 BandWidth: 889.32 
Times: 0.000452 BandWidth: 885.10 
Times: 0.000451 BandWidth: 887.44 
Times: 0.000452 BandWidth: 885.10 
Times: 0.000450 BandWidth: 888.85 
Times: 0.000449 BandWidth: 891.21 
Times: 0.000449 BandWidth: 891.21 
Times: 0.000452 BandWidth: 885.10 
Times: 0.000451 BandWidth: 887.44 
Times: 0.000452 BandWidth: 885.10 
Times: 0.002638 BandWidth: 151.68 
Times: 0.000455 BandWidth: 879.53 
Times: 0.000451 BandWidth: 886.97 
Times: 0.000449 BandWidth: 891.21 
Times: 0.000451 BandWidth: 886.97 
Times: 0.000452 BandWidth: 885.10 
Times: 0.000449 BandWidth: 891.21 
Times: 0.000452 BandWidth: 885.10 
Times: 0.000451 BandWidth: 886.97 
Times: 0.000451 BandWidth: 886.97 
Times: 0.000449 BandWidth: 891.21 
Times: 0.000450 BandWidth: 889.32 
Times: 0.000452 BandWidth: 885.56 
Times: 0.000450 BandWidth: 889.32 
Times: 0.000450 BandWidth: 888.85 
Times: 0.000452 BandWidth: 885.10 
Times: 0.000450 BandWidth: 889.32 
Times: 0.000452 BandWidth: 885.10 
Times: 0.000453 BandWidth: 883.23 
Times: 0.000449 BandWidth: 891.21 
Times: 0.000451 BandWidth: 886.97 
Times: 0.000451 BandWidth: 887.44 
Times: 0.000453 BandWidth: 883.23 
Times: 0.000452 BandWidth: 885.10 
Times: 0.000452 BandWidth: 885.10 
Times: 0.000451 BandWidth: 886.97 
Times: 0.000451 BandWidth: 886.97 
Times: 0.000452 BandWidth: 885.56 
Times: 0.000450 BandWidth: 889.32 
Times: 0.000452 BandWidth: 885.10 
Times: 0.000451 BandWidth: 886.97 
Times: 0.000450 BandWidth: 889.32 
Times: 0.000455 BandWidth: 879.53 
Times: 0.000450 BandWidth: 888.85 
Times: 0.000448 BandWidth: 893.10 
Times: 0.000451 BandWidth: 886.97 
Times: 0.000454 BandWidth: 880.91 
Times: 0.000451 BandWidth: 886.97 
Times: 0.000452 BandWidth: 885.10 
Times: 0.000452 BandWidth: 885.10 
Times: 0.000451 BandWidth: 886.97 
Times: 0.000449 BandWidth: 891.21 
Times: 0.000453 BandWidth: 883.23 
Times: 0.000450 BandWidth: 888.85 
Times: 0.000450 BandWidth: 889.32 
Times: 0.000451 BandWidth: 886.97 
Times: 0.000450 BandWidth: 889.32 
Times: 0.000451 BandWidth: 886.97 
Times: 0.000449 BandWidth: 891.21 
Times: 0.000451 BandWidth: 886.97 
Times: 0.000451 BandWidth: 886.97 
Times: 0.000451 BandWidth: 887.44 
Times: 0.000451 BandWidth: 886.97 
Times: 0.000449 BandWidth: 891.21 
Times: 0.001177 BandWidth: 339.91 
Times: 0.000456 BandWidth: 877.69 
Times: 0.000452 BandWidth: 885.10 
Times: 0.000453 BandWidth: 883.23 
Times: 0.000450 BandWidth: 888.85 
Times: 0.000450 BandWidth: 889.32 
Times: 0.000454 BandWidth: 881.38 
Times: 0.000450 BandWidth: 889.32 
Times: 0.000451 BandWidth: 887.44 
Times: 0.000452 BandWidth: 885.10 
Times: 0.000450 BandWidth: 889.32 
Times: 0.000450 BandWidth: 889.32 
Times: 0.000452 BandWidth: 885.10 
Times: 0.000457 BandWidth: 875.40 
Times: 0.000449 BandWidth: 891.21 
Times: 0.000452 BandWidth: 885.10 
Times: 0.000451 BandWidth: 886.97 
Times: 0.000450 BandWidth: 889.32 
Times: 0.000450 BandWidth: 888.85 
Times: 0.000451 BandWidth: 886.97 
Times: 0.001396 BandWidth: 286.62 
Times: 0.000451 BandWidth: 887.44 
Times: 0.000454 BandWidth: 881.38 
Times: 0.000450 BandWidth: 889.32 
Times: 0.000449 BandWidth: 891.21 
Times: 0.000450 BandWidth: 889.32 
Times: 0.000451 BandWidth: 886.97 
Times: 0.000454 BandWidth: 881.38 
Times: 0.000450 BandWidth: 888.85 
Times: 0.000450 BandWidth: 889.32 
Times: 0.000451 BandWidth: 886.97 
Times: 0.000453 BandWidth: 883.23 
Times: 0.000452 BandWidth: 885.10 
Times: 0.000450 BandWidth: 888.85 
Times: 0.000450 BandWidth: 889.32 
Times: 0.000449 BandWidth: 891.21 
Times: 0.000450 BandWidth: 888.85 
Times: 0.000450 BandWidth: 889.32 
Times: 0.000452 BandWidth: 885.10 
Times: 0.000451 BandWidth: 886.97 
Times: 0.000452 BandWidth: 885.10 
Times: 0.000450 BandWidth: 889.32 
Times: 0.000450 BandWidth: 889.32 
Times: 0.000451 BandWidth: 887.44 
Times: 0.000452 BandWidth: 885.10 
Times: 0.000452 BandWidth: 885.10 
Times: 0.000452 BandWidth: 885.10 
Times: 0.000452 BandWidth: 885.10 
Times: 0.000452 BandWidth: 885.10 
Times: 0.000449 BandWidth: 891.21 
Times: 0.000449 BandWidth: 891.21 
Times: 0.000452 BandWidth: 885.10 
Times: 0.000449 BandWidth: 891.21 
Times: 0.000452 BandWidth: 885.10 
Times: 0.000450 BandWidth: 888.85 
Times: 0.000450 BandWidth: 889.32 
Times: 0.000448 BandWidth: 893.10 
Times: 0.000450 BandWidth: 888.85 
Times: 0.000452 BandWidth: 885.56 
Times: 0.000453 BandWidth: 883.23 
Times: 0.000450 BandWidth: 888.85 
Times: 0.000451 BandWidth: 886.97 
Times: 0.000450 BandWidth: 888.85 
Times: 0.000450 BandWidth: 889.32 
Times: 0.000451 BandWidth: 886.97 
Times: 0.000449 BandWidth: 890.73 
Times: 0.000452 BandWidth: 885.56 
Times: 0.000453 BandWidth: 883.23 
Times: 0.000452 BandWidth: 885.10 
Times: 0.000452 BandWidth: 885.10 
Times: 0.000452 BandWidth: 885.10 
Times: 0.000449 BandWidth: 891.21 
Times: 0.000453 BandWidth: 883.23 
Times: 0.000452 BandWidth: 885.10 
