--------------------------------------------------------------------------
By default, for Open MPI 4.0 and later, infiniband ports on a device
are not used by default.  The intent is to use UCX for these devices.
You can override this policy by setting the btl_openib_allow_ib MCA parameter
to true.

  Local host:              nirvana
  Local adapter:           mlx5_2
  Local port:              1

--------------------------------------------------------------------------
--------------------------------------------------------------------------
WARNING: There was an error initializing an OpenFabrics device.

  Local host:   nirvana
  Local device: mlx5_2
--------------------------------------------------------------------------
% MAGMA 2.5.4  compiled for CUDA capability >= 6.0, 32-bit magma_int_t, 64-bit pointer.
% CUDA runtime 11000, driver 11000. OpenMP threads 1. 
% device 0: Tesla P100-SXM2-16GB, 1480.5 MHz clock, 16280.9 MiB memory, capability 6.0
% device 1: Tesla P100-SXM2-16GB, 1480.5 MHz clock, 16280.9 MiB memory, capability 6.0
% device 2: Tesla P100-SXM2-16GB, 1480.5 MHz clock, 16280.9 MiB memory, capability 6.0
% device 3: Tesla P100-SXM2-16GB, 1480.5 MHz clock, 16280.9 MiB memory, capability 6.0
% Mon Mar 22 04:33:55 2021
world size (GPU number) is 1
Aurow 5000 Aucol 5000 Avrow 1250 Avcol 20000 nt 100 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
nruns is 2000 
Times: 0.000904 BandWidth: 442.55 
Times: 0.000924 BandWidth: 433.07 
Times: 0.000898 BandWidth: 445.60 
Times: 0.000902 BandWidth: 443.60 
Times: 0.000903 BandWidth: 443.13 
Times: 0.000900 BandWidth: 444.54 
Times: 0.000899 BandWidth: 445.13 
Times: 0.000893 BandWidth: 448.10 
Times: 0.000910 BandWidth: 439.76 
Times: 0.000894 BandWidth: 447.62 
Times: 0.000907 BandWidth: 441.04 
Times: 0.000900 BandWidth: 444.54 
Times: 0.000907 BandWidth: 441.15 
Times: 0.000896 BandWidth: 446.55 
Times: 0.000897 BandWidth: 445.96 
Times: 0.000903 BandWidth: 443.02 
Times: 0.000905 BandWidth: 442.08 
Times: 0.000906 BandWidth: 441.62 
Times: 0.000894 BandWidth: 447.50 
Times: 0.000901 BandWidth: 444.07 
Times: 0.000910 BandWidth: 439.65 
Times: 0.000902 BandWidth: 443.48 
Times: 0.000921 BandWidth: 434.41 
Times: 0.000901 BandWidth: 444.07 
Times: 0.000898 BandWidth: 445.60 
Times: 0.000904 BandWidth: 442.66 
Times: 0.000899 BandWidth: 445.13 
Times: 0.000895 BandWidth: 447.03 
Times: 0.000900 BandWidth: 444.54 
Times: 0.000900 BandWidth: 444.66 
Times: 0.000906 BandWidth: 441.62 
Times: 0.000902 BandWidth: 443.48 
Times: 0.000906 BandWidth: 441.62 
Times: 0.000907 BandWidth: 441.15 
Times: 0.000898 BandWidth: 445.48 
Times: 0.000907 BandWidth: 441.04 
Times: 0.000911 BandWidth: 439.19 
Times: 0.000922 BandWidth: 433.85 
Times: 0.000917 BandWidth: 436.33 
Times: 0.000897 BandWidth: 446.08 
Times: 0.000899 BandWidth: 445.01 
Times: 0.000902 BandWidth: 443.48 
Times: 0.000899 BandWidth: 445.01 
Times: 0.000910 BandWidth: 439.65 
Times: 0.000898 BandWidth: 445.48 
Times: 0.000902 BandWidth: 443.60 
Times: 0.000897 BandWidth: 446.08 
Times: 0.000905 BandWidth: 442.08 
Times: 0.000908 BandWidth: 440.69 
