--------------------------------------------------------------------------
By default, for Open MPI 4.0 and later, infiniband ports on a device
are not used by default.  The intent is to use UCX for these devices.
You can override this policy by setting the btl_openib_allow_ib MCA parameter
to true.

  Local host:              nirvana
  Local adapter:           mlx5_2
  Local port:              1

--------------------------------------------------------------------------
--------------------------------------------------------------------------
WARNING: There was an error initializing an OpenFabrics device.

  Local host:   nirvana
  Local device: mlx5_2
--------------------------------------------------------------------------
% MAGMA 2.5.4  compiled for CUDA capability >= 6.0, 32-bit magma_int_t, 64-bit pointer.
% CUDA runtime 11000, driver 11000. OpenMP threads 20. 
% device 0: Tesla P100-SXM2-16GB, 1480.5 MHz clock, 16280.9 MiB memory, capability 6.0
% device 1: Tesla P100-SXM2-16GB, 1480.5 MHz clock, 16280.9 MiB memory, capability 6.0
% device 2: Tesla P100-SXM2-16GB, 1480.5 MHz clock, 16280.9 MiB memory, capability 6.0
% device 3: Tesla P100-SXM2-16GB, 1480.5 MHz clock, 16280.9 MiB memory, capability 6.0
% Mon Mar 22 04:34:36 2021
world size (GPU number) is 4
Aurow 5000 Aucol 1250 Avrow 1250 Avcol 5000 nt 25 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
Aurow 5000 Aucol 1250 Avrow 1250 Avcol 5000 nt 25 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
Aurow 5000 Aucol 1250 Avrow 1250 Avcol 5000 nt 25 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
Aurow 5000 Aucol 1250 Avrow 1250 Avcol 5000 nt 25 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
nruns is 2000 
nruns is 2000 
nruns is 2000 
nruns is 2000 
Times: 0.000275 BandWidth: 1454.20 
Times: 0.000308 BandWidth: 1298.87 
Times: 0.000287 BandWidth: 1394.96 
Times: 0.000286 BandWidth: 1398.45 
Times: 0.000286 BandWidth: 1399.62 
Times: 0.000285 BandWidth: 1403.13 
Times: 0.000306 BandWidth: 1306.96 
Times: 0.000276 BandWidth: 1450.42 
Times: 0.000291 BandWidth: 1375.53 
Times: 0.000282 BandWidth: 1418.55 
Times: 0.000293 BandWidth: 1365.45 
Times: 0.000285 BandWidth: 1403.13 
Times: 0.000291 BandWidth: 1374.40 
Times: 0.000286 BandWidth: 1398.45 
Times: 0.000276 BandWidth: 1450.42 
Times: 0.000282 BandWidth: 1418.55 
Times: 0.000290 BandWidth: 1380.05 
Times: 0.000334 BandWidth: 1197.82 
Times: 0.000288 BandWidth: 1389.19 
Times: 0.000276 BandWidth: 1450.42 
Times: 0.000279 BandWidth: 1434.31 
Times: 0.000296 BandWidth: 1352.25 
Times: 0.000289 BandWidth: 1384.60 
Times: 0.000276 BandWidth: 1449.17 
Times: 0.000286 BandWidth: 1398.45 
Times: 0.000297 BandWidth: 1346.82 
Times: 0.000277 BandWidth: 1444.18 
Times: 0.000328 BandWidth: 1219.58 
Times: 0.000275 BandWidth: 1455.46 
Times: 0.000285 BandWidth: 1403.13 
Times: 0.000276 BandWidth: 1449.17 
Times: 0.000288 BandWidth: 1389.19 
Times: 0.001038 BandWidth: 385.51 
Times: 0.000313 BandWidth: 1278.10 
Times: 0.000275 BandWidth: 1455.46 
Times: 0.000283 BandWidth: 1413.77 
Times: 0.000319 BandWidth: 1254.22 
Times: 0.000290 BandWidth: 1380.05 
Times: 0.000287 BandWidth: 1393.80 
Times: 0.000302 BandWidth: 1324.50 
Times: 0.000291 BandWidth: 1375.53 
Times: 0.000316 BandWidth: 1265.57 
Times: 0.000274 BandWidth: 1460.52 
Times: 0.000284 BandWidth: 1409.02 
Times: 0.000277 BandWidth: 1444.18 
Times: 0.000283 BandWidth: 1413.77 
Times: 0.000326 BandWidth: 1226.71 
Times: 0.000278 BandWidth: 1439.23 
Times: 0.000275 BandWidth: 1455.46 
Times: 0.000290 BandWidth: 1380.05 
Times: 0.000275 BandWidth: 1454.20 
Times: 0.000287 BandWidth: 1393.80 
Times: 0.000303 BandWidth: 1320.33 
Times: 0.000302 BandWidth: 1324.50 
Times: 0.000281 BandWidth: 1423.36 
Times: 0.000297 BandWidth: 1347.90 
Times: 0.000293 BandWidth: 1365.45 
Times: 0.000275 BandWidth: 1455.46 
Times: 0.000282 BandWidth: 1419.75 
Times: 0.000278 BandWidth: 1439.23 
Times: 0.000289 BandWidth: 1384.60 
Times: 0.000278 BandWidth: 1439.23 
Times: 0.000290 BandWidth: 1380.05 
Times: 0.000287 BandWidth: 1393.80 
Times: 0.000278 BandWidth: 1439.23 
Times: 0.000284 BandWidth: 1409.02 
Times: 0.000281 BandWidth: 1424.57 
Times: 0.000294 BandWidth: 1361.02 
Times: 0.000280 BandWidth: 1429.42 
Times: 0.000289 BandWidth: 1384.60 
Times: 0.000280 BandWidth: 1429.42 
Times: 0.000276 BandWidth: 1450.42 
