--------------------------------------------------------------------------
By default, for Open MPI 4.0 and later, infiniband ports on a device
are not used by default.  The intent is to use UCX for these devices.
You can override this policy by setting the btl_openib_allow_ib MCA parameter
to true.

  Local host:              samsara
  Local adapter:           mlx5_2
  Local port:              1

--------------------------------------------------------------------------
--------------------------------------------------------------------------
WARNING: There was an error initializing an OpenFabrics device.

  Local host:   samsara
  Local device: mlx5_2
--------------------------------------------------------------------------
% MAGMA 2.5.4  compiled for CUDA capability >= 7.0, 32-bit magma_int_t, 64-bit pointer.
% CUDA runtime 11000, driver 11020. OpenMP threads 1. 
% device 0: Tesla V100-SXM2-16GB, 1530.0 MHz clock, 16160.5 MiB memory, capability 7.0
% device 1: Tesla V100-SXM2-16GB, 1530.0 MHz clock, 16160.5 MiB memory, capability 7.0
% device 2: Tesla V100-SXM2-16GB, 1530.0 MHz clock, 16160.5 MiB memory, capability 7.0
% device 3: Tesla V100-SXM2-16GB, 1530.0 MHz clock, 16160.5 MiB memory, capability 7.0
% Mon Mar 22 04:37:08 2021
world size (GPU number) is 2
Aurow 5000 Aucol 2500 Avrow 1250 Avcol 10000 nt 50 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
Aurow 5000 Aucol 2500 Avrow 1250 Avcol 10000 nt 50 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
nruns is 2000 
nruns is 2000 
Times: 0.000314 BandWidth: 1274.21 
Times: 0.000260 BandWidth: 1539.58 
Times: 0.000260 BandWidth: 1539.58 
Times: 0.000260 BandWidth: 1539.58 
Times: 0.000260 BandWidth: 1538.17 
Times: 0.000263 BandWidth: 1521.43 
Times: 0.000259 BandWidth: 1545.25 
Times: 0.000263 BandWidth: 1521.43 
Times: 0.000257 BandWidth: 1556.72 
Times: 0.000261 BandWidth: 1532.55 
Times: 0.000260 BandWidth: 1538.17 
Times: 0.000258 BandWidth: 1550.96 
Times: 0.000261 BandWidth: 1532.55 
Times: 0.000258 BandWidth: 1550.96 
Times: 0.000259 BandWidth: 1543.83 
Times: 0.000258 BandWidth: 1550.96 
Times: 0.000260 BandWidth: 1538.17 
Times: 0.000260 BandWidth: 1538.17 
Times: 0.000261 BandWidth: 1533.95 
Times: 0.000259 BandWidth: 1545.25 
Times: 0.000260 BandWidth: 1539.58 
Times: 0.000260 BandWidth: 1539.58 
Times: 0.000259 BandWidth: 1545.25 
Times: 0.000259 BandWidth: 1545.25 
Times: 0.000261 BandWidth: 1532.55 
Times: 0.000260 BandWidth: 1538.17 
Times: 0.000262 BandWidth: 1526.97 
Times: 0.000260 BandWidth: 1539.58 
Times: 0.000258 BandWidth: 1550.96 
Times: 0.000261 BandWidth: 1533.95 
Times: 0.000260 BandWidth: 1539.58 
Times: 0.000260 BandWidth: 1539.58 
Times: 0.000261 BandWidth: 1532.55 
Times: 0.000260 BandWidth: 1539.58 
Times: 0.000263 BandWidth: 1521.43 
Times: 0.000261 BandWidth: 1532.55 
Times: 0.000257 BandWidth: 1556.72 
Times: 0.000260 BandWidth: 1539.58 
Times: 0.000257 BandWidth: 1556.72 
Times: 0.000260 BandWidth: 1539.58 
Times: 0.000262 BandWidth: 1526.97 
Times: 0.000257 BandWidth: 1556.72 
Times: 0.000260 BandWidth: 1538.17 
Times: 0.000262 BandWidth: 1526.97 
Times: 0.000263 BandWidth: 1520.06 
Times: 0.000261 BandWidth: 1533.95 
Times: 0.000258 BandWidth: 1550.96 
Times: 0.000259 BandWidth: 1545.25 
Times: 0.000260 BandWidth: 1539.58 
Times: 0.000260 BandWidth: 1539.58 
Times: 0.000259 BandWidth: 1545.25 
Times: 0.000260 BandWidth: 1538.17 
Times: 0.000264 BandWidth: 1515.94 
Times: 0.000258 BandWidth: 1550.96 
Times: 0.000259 BandWidth: 1543.83 
Times: 0.000259 BandWidth: 1545.25 
Times: 0.000260 BandWidth: 1538.17 
Times: 0.000260 BandWidth: 1538.17 
Times: 0.000261 BandWidth: 1532.55 
Times: 0.000259 BandWidth: 1545.25 
Times: 0.000259 BandWidth: 1545.25 
Times: 0.000264 BandWidth: 1515.94 
Times: 0.000261 BandWidth: 1533.95 
Times: 0.000263 BandWidth: 1521.43 
Times: 0.000260 BandWidth: 1539.58 
Times: 0.000262 BandWidth: 1526.97 
Times: 0.000260 BandWidth: 1538.17 
Times: 0.000260 BandWidth: 1539.58 
Times: 0.000260 BandWidth: 1539.58 
Times: 0.000258 BandWidth: 1550.96 
Times: 0.000259 BandWidth: 1545.25 
Times: 0.000263 BandWidth: 1521.43 
Times: 0.000260 BandWidth: 1539.58 
Times: 0.000262 BandWidth: 1526.97 
Times: 0.000260 BandWidth: 1539.58 
Times: 0.000262 BandWidth: 1526.97 
Times: 0.000260 BandWidth: 1539.58 
Times: 0.000263 BandWidth: 1521.43 
Times: 0.000260 BandWidth: 1539.58 
Times: 0.000261 BandWidth: 1532.55 
Times: 0.000263 BandWidth: 1521.43 
Times: 0.000262 BandWidth: 1526.97 
Times: 0.000257 BandWidth: 1556.72 
Times: 0.000259 BandWidth: 1545.25 
Times: 0.000268 BandWidth: 1493.01 
Times: 0.000261 BandWidth: 1532.55 
Times: 0.000261 BandWidth: 1532.55 
Times: 0.000258 BandWidth: 1550.96 
Times: 0.000258 BandWidth: 1550.96 
Times: 0.000261 BandWidth: 1532.55 
Times: 0.000261 BandWidth: 1532.55 
Times: 0.000260 BandWidth: 1538.17 
Times: 0.000263 BandWidth: 1521.43 
Times: 0.000261 BandWidth: 1532.55 
Times: 0.000262 BandWidth: 1526.97 
Times: 0.000260 BandWidth: 1539.58 
Times: 0.000261 BandWidth: 1533.95 
Times: 0.000260 BandWidth: 1539.58 
Times: 0.000261 BandWidth: 1532.55 
Times: 0.000261 BandWidth: 1532.55 
Times: 0.000258 BandWidth: 1550.96 
Times: 0.000257 BandWidth: 1556.72 
Times: 0.000261 BandWidth: 1532.55 
Times: 0.000262 BandWidth: 1526.97 
Times: 0.000259 BandWidth: 1543.83 
Times: 0.000258 BandWidth: 1550.96 
Times: 0.000259 BandWidth: 1543.83 
Times: 0.000259 BandWidth: 1545.25 
Times: 0.000261 BandWidth: 1532.55 
Times: 0.000261 BandWidth: 1532.55 
Times: 0.000260 BandWidth: 1538.17 
Times: 0.000261 BandWidth: 1533.95 
Times: 0.000262 BandWidth: 1526.97 
Times: 0.000260 BandWidth: 1539.58 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000260 BandWidth: 1538.17 
Times: 0.000261 BandWidth: 1533.95 
Times: 0.000259 BandWidth: 1545.25 
Times: 0.000258 BandWidth: 1550.96 
Times: 0.000259 BandWidth: 1543.83 
Times: 0.000261 BandWidth: 1532.55 
Times: 0.000260 BandWidth: 1538.17 
Times: 0.000261 BandWidth: 1532.55 
Times: 0.000259 BandWidth: 1545.25 
Times: 0.000260 BandWidth: 1538.17 
Times: 0.000260 BandWidth: 1538.17 
Times: 0.000263 BandWidth: 1521.43 
Times: 0.000261 BandWidth: 1532.55 
Times: 0.000262 BandWidth: 1526.97 
Times: 0.000261 BandWidth: 1532.55 
Times: 0.000260 BandWidth: 1538.17 
Times: 0.000262 BandWidth: 1526.97 
Times: 0.000258 BandWidth: 1550.96 
Times: 0.000264 BandWidth: 1514.57 
Times: 0.000258 BandWidth: 1550.96 
Times: 0.000261 BandWidth: 1532.55 
Times: 0.000258 BandWidth: 1550.96 
Times: 0.000260 BandWidth: 1539.58 
Times: 0.000262 BandWidth: 1526.97 
Times: 0.000257 BandWidth: 1556.72 
Times: 0.000259 BandWidth: 1543.83 
Times: 0.000261 BandWidth: 1533.95 
Times: 0.000259 BandWidth: 1545.25 
Times: 0.000260 BandWidth: 1538.17 
Times: 0.000259 BandWidth: 1543.83 
Times: 0.000261 BandWidth: 1532.55 
Times: 0.000263 BandWidth: 1521.43 
Times: 0.000258 BandWidth: 1550.96 
Times: 0.000261 BandWidth: 1533.95 
Times: 0.000258 BandWidth: 1549.53 
Times: 0.000259 BandWidth: 1545.25 
Times: 0.000260 BandWidth: 1538.17 
Times: 0.000259 BandWidth: 1545.25 
Times: 0.000261 BandWidth: 1532.55 
Times: 0.000259 BandWidth: 1545.25 
Times: 0.000257 BandWidth: 1556.72 
Times: 0.000258 BandWidth: 1549.53 
Times: 0.000260 BandWidth: 1539.58 
Times: 0.000262 BandWidth: 1526.97 
Times: 0.000259 BandWidth: 1543.83 
Times: 0.000259 BandWidth: 1545.25 
Times: 0.000259 BandWidth: 1545.25 
Times: 0.000258 BandWidth: 1550.96 
Times: 0.000260 BandWidth: 1538.17 
Times: 0.000260 BandWidth: 1539.58 
Times: 0.000260 BandWidth: 1538.17 
Times: 0.000261 BandWidth: 1532.55 
Times: 0.000262 BandWidth: 1526.97 
Times: 0.000262 BandWidth: 1526.97 
Times: 0.000262 BandWidth: 1526.97 
Times: 0.000259 BandWidth: 1545.25 
Times: 0.000259 BandWidth: 1545.25 
Times: 0.000258 BandWidth: 1549.53 
Times: 0.000259 BandWidth: 1545.25 
Times: 0.000261 BandWidth: 1532.55 
Times: 0.000259 BandWidth: 1545.25 
Times: 0.000260 BandWidth: 1538.17 
Times: 0.000261 BandWidth: 1532.55 
Times: 0.000259 BandWidth: 1543.83 
Times: 0.000262 BandWidth: 1526.97 
Times: 0.000257 BandWidth: 1556.72 
Times: 0.000259 BandWidth: 1545.25 
Times: 0.000260 BandWidth: 1538.17 
Times: 0.000261 BandWidth: 1532.55 
Times: 0.000260 BandWidth: 1539.58 
Times: 0.000258 BandWidth: 1550.96 
Times: 0.000259 BandWidth: 1545.25 
Times: 0.000260 BandWidth: 1538.17 
Times: 0.000264 BandWidth: 1515.94 
Times: 0.000262 BandWidth: 1526.97 
Times: 0.000261 BandWidth: 1532.55 
Times: 0.000256 BandWidth: 1563.97 
Times: 0.000260 BandWidth: 1539.58 
Times: 0.000259 BandWidth: 1543.83 
Times: 0.000259 BandWidth: 1545.25 
Times: 0.000262 BandWidth: 1526.97 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000262 BandWidth: 1526.97 
Times: 0.000260 BandWidth: 1539.58 
Times: 0.000260 BandWidth: 1539.58 
Times: 0.000259 BandWidth: 1545.25 
Times: 0.000259 BandWidth: 1545.25 
Times: 0.000260 BandWidth: 1539.58 
Times: 0.000261 BandWidth: 1532.55 
Times: 0.000258 BandWidth: 1550.96 
Times: 0.000260 BandWidth: 1539.58 
Times: 0.000261 BandWidth: 1532.55 
Times: 0.000259 BandWidth: 1545.25 
Times: 0.000260 BandWidth: 1538.17 
Times: 0.000260 BandWidth: 1538.17 
Times: 0.000263 BandWidth: 1521.43 
Times: 0.000260 BandWidth: 1539.58 
Times: 0.000259 BandWidth: 1545.25 
Times: 0.000261 BandWidth: 1532.55 
Times: 0.000260 BandWidth: 1539.58 
Times: 0.000259 BandWidth: 1543.83 
Times: 0.000259 BandWidth: 1545.25 
Times: 0.000257 BandWidth: 1556.72 
Times: 0.000260 BandWidth: 1538.17 
Times: 0.000260 BandWidth: 1538.17 
Times: 0.000260 BandWidth: 1539.58 
Times: 0.000264 BandWidth: 1514.57 
Times: 0.000261 BandWidth: 1532.55 
Times: 0.000257 BandWidth: 1556.72 
Times: 0.000259 BandWidth: 1545.25 
Times: 0.000261 BandWidth: 1532.55 
Times: 0.000262 BandWidth: 1526.97 
Times: 0.000259 BandWidth: 1543.83 
Times: 0.000261 BandWidth: 1532.55 
Times: 0.000260 BandWidth: 1539.58 
Times: 0.000259 BandWidth: 1543.83 
Times: 0.000258 BandWidth: 1550.96 
Times: 0.000263 BandWidth: 1521.43 
Times: 0.000260 BandWidth: 1539.58 
Times: 0.000258 BandWidth: 1549.53 
